State,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
WEST_BENGAL,1956,14.8,1.4,42.6,164.9,42.9,747.9,471.4,486.8,285.2,215.8,3.1,3.6,2885.4,16.2,628.4,1991.3,249.5
WEST_BENGAL,1956,4.5,33.9,5.7,25.6,141.6,343.3,253.9,295.4,391.1,157.6,12.7,3.9,1714.2,38.4,217.9,1283.7,174.2
ORISSA,1956,1.4,37.9,18.2,11.9,118.1,345.2,47,434.5,249.8,191.7,6.7,?,1885.4,39.3,148.2,1499.5,198.4
BIHAR,1956,19.2,4.6,9.6,5.3,74.9,319,2.7,286.4,36,169,35.9,8.2,1492.8,23.8,89.8,1166.1,213.1
UTTAR_PRADESH,1956,21.5,5.7,12.3,1.2,39.7,165.2,22.3,281.1,292.3,167.2,38.9,8.7,1254.1,27.2,53.2,958.9,214.8
UTTAR_PRADESH,1956,23.2,4.3,22.3,0.4,12.4,67.3,334.1,286.4,96.7,26,4.5,2.6,16.2,27.5,35.1,784.5,213.1
HARYANA,1956,16.8,3,24.8,0.8,2.2,5.7,23.3,161.6,21.5,132.4,4.8,0.6,649.5,19.8,27.8,464.1,137.8
PUNJAB,1956,21.6,6.8,45.3,5.1,0.7,53.5,236.5,28.7,26.7,14.1,0.2,5.3,75.5,28.4,51.1,525.4,145.6
RAJASTHAN,1956,3.1,0.2,6.1,1,0.1,2.6,28,76.4,12.1,45.1,?,1.4,374.1,3.3,7.2,317.1,46.5
RAJASTHAN,1956,6.1,0.6,1,0.2,1.7,33.7,438.6,217.2,5.4,159.2,0.9,5.2,923.8,6.7,11.9,739.9,165.3
MADHYA_PRADESH,1956,1.9,0.8,3.5,0.4,49.1,112.1,411.4,235.5,127.8,95.8,12.8,5.7,165.8,11.7,53,886.8,114.3
