YEAR,WHEAT,RICE,MAIZE,JOWAR,BAJRA,SUGAR,POTATO,GNUT,BARLEY,TOBAC,GRAM,TUR,RAGI,SESAMUM,RMSEED,COTTON,OPULS,SOY,SUNFLWR,JUTE
1956,8994.794262,25509.26915,2710.378,7631.323,2886.312,7013.055172,1672.284,4566.565,2973.464745,261.647,6212.494223,2277.251,101.561,335.712,355.0801861,816.32676,1990.496,0,0,530.96454
1957,7343.91187,21604.97523,2802.579,8597.357,3616.6,6901.7048,1875.045115,4673.989,2456.824085,208.881,4913.05616,2310.78,103.601,263.962,368.8828945,818.12932,1925.913,0,0,504.9567
1958,9413.368621,27008.66144,2992.087,8984.954,3838.561,7096.4082,2150.681824,5144.23,2780.001367,267.333,7018.33327,2357.383,127.347,387.458,380.4035593,822.39198,2739.836,0,0,700.33716
1959,9789.58279,27687.38011,3602.979,8516.071,3465.496,7670.9026,2516.961578,4529.749,2799.343293,260.325,5621.39829,2337.247,153.424,271.376,291.2255738,611.1756,2661.684,0,0,556.20468
1960,10528.61009,30394.82344,3594.961,9834.699,3254.185,10798.2592,2462.42859,4727.999,2905.219627,267.505,6284.399685,2336.095,133.415,186.139,364.4053103,926.0496,2673.806,0,0,565.71696
1961,11533.98178,31433.00805,3753.318,7975.117,3608.499,10190.6305,2341.40936,5056.835,3234.569687,305.832,5771.302512,2318.639,131.792,268.929,453.7346126,816.82328,2535.143,0,0,926.66322
1962,10348.84329,28994.63736,4048.218,9445.656,3916.977,8949.5012,3060.926852,4958.066,2579.459522,310.04,5374.119997,2369.416,153.069,337.533,534.2381989,939.2473,2360.077,0,0,836.05662
1963,9376.200437,32368.07528,4028.996,9175.543,3844.757,10099.1202,2416.061752,5267.698,2224.554,321.705,4467.385,2363.733,151.242,263.157,255.324,962.03836,2107.719,0,0,894.60522
1964,11739.92822,34614.63981,4109.031,9654.063,4488.079,11931.4054,3365.391152,5982.011,2656.798136,316.551,5802.114132,2380.23,132.619,289.871,403.5512783,1008.126,2516.771,0,0,912.68334
1965,9915.656263,26209.68047,4182.069,7584.724,3661.03,11866.7479,3889.388735,4353.405,2579.282575,261.478,4170.234047,2379.521,151.305,289.7940768,380.3923432,817.9669,2029.459,0,0,635.09598
1966,10716.98197,25799.64844,4452.485,8779.486,4461.27,9564.095,3205.157257,4760.771,2474.033824,323.654,3550.240121,2326.639,194.993,339.1739165,367.1185275,846.0659,1701.824,0,0,767.38068
1967,15585.09893,31096.08014,5590.8,9709.683,5169.235,9268.7879,3763.408088,5705.684,3509.10384,343.579,5650.212612,2397.096,295.056,357.3302487,467.5376551,945.548,2368.962,0,0,932.06106
1968,17149.1757,30906.59964,4447.465,9254.384,3632.795,12082.4784,4450.765,4694.782,2497.774,337.862,3998.056,2384.098,250.298,291.87587,339.8817293,913.96602,2368.314,0,0,379.63944
1969,19059.5536,32249.572,4751.602,8930.57,5257.471,13370.5568,3458.804,5036.514,2728.212,264.859,5312.496,2390.978,207.988,317.156898,450.816501,933.26248,2266.976,0,0,804.64608
1970,22227.4822,35123.979,6555.582,7703.246,8114.416,12157.312,4304.497,6414.811,2899.268,311.96,5131.619,2370.548,232.274,416.8622049,657.4305961,874.37992,2542.558,0,0,700.01964
1971,24170.4732,35094.137,4505.916,7215.339,5020.349,11428.7333,4533.323,6495.506,2608.458,389.488,5026.607,2305.157,179.011,343.7138114,532.1485885,1270.12658,2428.974,0,0,798.93216
1972,22640.9769,33572.685,5251.342,7190.285,4010.153,12323.5129,3963.717,4022.854,2300.57,342.247,4377.119,2371.153,201.901,273.4621335,638.2658673,1036.802,2030.812,0,0,676.28502
