STATENAM,YEAR,sum(AGLABOR),sum(QLABOR)
BIHAR,1956,2501696.9484999995,1730752966
HARYANA,1956,214936.97,537152932
WEST_BENGAL,1956,1489681,1515084349
MADHYA_PRADESH,1956,1748708.6799999995,1536824072
KARNATAKA,1956,766305.18,811183895
UTTAR_PRADESH,1956,2002205.2400000002,3282327444
GUJARAT,1956,773657.7799999999,775538493.2
RAJASTHAN,1956,278063.75,946443917
ORISSA,1956,847156,800917074
ANDHRA_PRADESH,1956,1618778.8599999999,1201663948
PUNJAB,1956,323957.17,449010187
MAHARASHTRA,1956,2319044.9,1655547690
TAMIL_NADU,1956,1165078.61,1293327929.5
MADHYA_PRADESH,1957,1674821.23,1575109147
MAHARASHTRA,1957,2267597.65,1642461698
WEST_BENGAL,1957,1476423,1464869000
UTTAR_PRADESH,1957,2002182.33,3237304190
HARYANA,1957,208828.75999999998,521761200
ORISSA,1957,837231,820364142
TAMIL_NADU,1957,1203912.1800000002,1331904993.5
ANDHRA_PRADESH,1957,1713260.18,1251946096
GUJARAT,1957,757488.29,772062057.5
KARNATAKA,1957,785470.3199999998,841135449
RAJASTHAN,1957,266941.19999999995,944052565
BIHAR,1957,2510350.0279999995,1735806132
PUNJAB,1957,324305.14,449307149
BIHAR,1958,2519003.0369999995,1740859266
HARYANA,1958,202720.53,506369454
ANDHRA_PRADESH,1958,1807741.7399999998,1302228380
WEST_BENGAL,1958,1463166,1414655090
GUJARAT,1958,741318.7400000001,768585599.5
TAMIL_NADU,1958,1242745.93,1370482160.5
UTTAR_PRADESH,1958,2002159.43,3290256049
KARNATAKA,1958,804635.45,871087025
MADHYA_PRADESH,1958,1600933.62,1613394147
RAJASTHAN,1958,255818.65000000005,941661217
PUNJAB,1958,324653.11,449604113
ORISSA,1958,827311,839812364
MAHARASHTRA,1958,2216150.5600000005,1629375758
RAJASTHAN,1959,244696.09999999995,939269875.5
HARYANA,1959,196612.30999999997,490977702
MADHYA_PRADESH,1959,1527046.0499999998,1651679064
BIHAR,1959,2527656.1920000007,1745912402
UTTAR_PRADESH,1959,2002136.5899999999,3294220317
WEST_BENGAL,1959,1449908,1364440973
ANDHRA_PRADESH,1959,1902222.9500000002,1352510488
GUJARAT,1959,725149.14,765109129.8
ORISSA,1959,817391,859261052
TAMIL_NADU,1959,1281579.6800000002,1409059322
MAHARASHTRA,1959,2164703.3300000005,1616289780
PUNJAB,1959,325001.08999999997,449901079
KARNATAKA,1959,823800.6500000001,901038573.5
PUNJAB,1960,325349.08,450198047
ORISSA,1960,807471,878709054
UTTAR_PRADESH,1960,2002113.7200000002,3298184678
HARYANA,1960,190504.07,475585960
RAJASTHAN,1960,233573.55000000002,936878527
ANDHRA_PRADESH,1960,1996704.6300000001,1402792798
WEST_BENGAL,1960,1436651,1314226842
MADHYA_PRADESH,1960,1453158.5599999994,1689964112
GUJARAT,1960,708979.5700000001,761632675.8
TAMIL_NADU,1960,1320413.25,1447636434
MAHARASHTRA,1960,2113256.42,1603203864
KARNATAKA,1960,842965.7999999999,930990205.5
BIHAR,1960,2536309.235,1750965564
HARYANA,1961,184396,460194262
PUNJAB,1961,325697,450495006
ANDHRA_PRADESH,1961,2091185.94,1453074942
MADHYA_PRADESH,1961,1379271,1728249141
RAJASTHAN,1961,222451,934487189
WEST_BENGAL,1961,1423395,1264012446
TAMIL_NADU,1961,1359247,1486213477
GUJARAT,1961,692810,758156218
UTTAR_PRADESH,1961,2002091,3302148990
ORISSA,1961,797552,898157978
BIHAR,1961,2545298,1756081498
MAHARASHTRA,1961,2061809,1590117840
KARNATAKA,1961,862131,960941748
BIHAR,1962,2777737.3000000003,1802982640
TAMIL_NADU,1962,1473411.8,1522619917.5
MADHYA_PRADESH,1962,1457665.9,1760726668
ORISSA,1962,869309,914782294
WEST_BENGAL,1962,1557956,1294466770
UTTAR_PRADESH,1962,2210177.8000000007,3349816305
ANDHRA_PRADESH,1962,2159133.7,1468426516
KARNATAKA,1962,936061.5,974447030
HARYANA,1962,210632.60000000003,452694638
MAHARASHTRA,1962,2261333.1,1703979552
GUJARAT,1962,742470.4999999999,773812070.5
PUNJAB,1962,375548.1,462870730
RAJASTHAN,1962,251227.39999999997,947923370
MADHYA_PRADESH,1963,1536060.8,1793204177
WEST_BENGAL,1963,1692517,1324920882
PUNJAB,1963,425399.2,475246465
RAJASTHAN,1963,280003.8,961359553
ANDHRA_PRADESH,1963,2227081.47,1483778082
UTTAR_PRADESH,1963,2418264.6,3397483652
KARNATAKA,1963,1009991.9999999999,987952313
ORISSA,1963,941073,931408694
TAMIL_NADU,1963,1587576.6,1559026355.5
HARYANA,1963,236869.2,445195030
MAHARASHTRA,1963,2460857.2,1817841268
GUJARAT,1963,792130.9999999999,789467923
BIHAR,1963,3010176.6,1849883810
ANDHRA_PRADESH,1964,2295029.23,1499129664
MAHARASHTRA,1964,2660381.3,1931702922
ORISSA,1964,1012831,948033718
GUJARAT,1964,841791.5000000001,805123761.5
PUNJAB,1964,475250.3,487622189
HARYANA,1964,263105.8,437695420
WEST_BENGAL,1964,1827077,1355375921
