STATENAM,YEAR,PJOWAR,PMAIZE,PWHEAT,PSUGAR,PPOTATO,PGNUT,PRICE,PBAJRA,PTUR,PRAGI,PTOBAC,PBARLEY,PGRAM,PSESAMUM,PRMSEED,PCOTTON,POPULS,PSOY,PSUNFLWR,PJUTE
BIHAR,1956,0,29.88558824,49.4652941,41.09941176,28.25976471,36.62,48.06117647,0,34.86041176,28.41735294,196.1325882,34.11747059,40.17147059,70.06670588,73.75882353,0,34.86041176,0,0,40.33352941
HARYANA,1956,27.61166667,30.82866667,39.26,29.198577,28.707825,40.249539,31.05166667,34.91,31.94983333,34.91,134.4086667,30.35583333,31.94983333,80.24,72.11633333,70.634165,31.94983333,0,0,0
WEST_BENGAL,1956,0,27.967157,40.333238,41.57808,24.78075,0,51.761852,0,0,0,164.13144,30.733488,30.810286,0,71.472148,0,0,0,0,66.22333333
MADHYA_PRADESH,1956,35.14651163,24.5,43.9139535,36.69139535,28.56071,34.37093023,42.75116279,40.34883721,33.32232558,40.34883721,301.9593023,33.22259,33.32232558,67.64046512,60.122173,57.48348837,37.52812805,0,0,0
KARNATAKA,1956,31.83157895,27.75789474,51.6105263,32.27894737,38.688244,40.75842105,67.21578947,29.07894737,43.19157895,29.07894737,217.8284211,48.22634,43.19157895,49.941055,62.801414,82.56473684,37.22052632,0,0,0
UTTAR_PRADESH,1956,31.69166667,28.63670833,39.36,40.23958333,24.89,35.58316667,25.210625,35.149375,32.9663125,35.149375,102.668526,29.5459375,32.9663125,84.83370833,66.59360417,71.85725,32.9719375,0,0,56.55833333
GUJARAT,1956,37.95,36.40555556,50.2611111,52.19444444,23.255814,78.27222222,37.07777778,42.46111111,33,42.46111111,77.79731,24.88333333,33,75.53888889,52.78888889,43.41111111,46.46666667,0,0,0
RAJASTHAN,1956,12.00384615,12.32692308,16.3653846,35.24747973,28.56071,42.18568362,19.98461538,13.8,31.36361027,13.8,177.1225765,32.62079231,31.36361027,81.78899108,70.23733877,153.4844571,17.37384896,0,0,0
ORISSA,1956,34.40384615,28.52538462,44.9638462,35.63538462,26.10521538,38.14,37.63615385,36.11692308,33.499,29.55384615,207.4023077,0,32.84230769,68.99615385,63.90769231,58.97384615,33.499,0,0,67.52
ANDHRA_PRADESH,1956,34.05263158,32.83157895,53.5,32.37,28.56071,42.33473684,56.92631579,25.79473684,36.05842105,25.79473684,82.62315789,24.11317,36.05842105,72.12684211,60.122173,63.11368421,31.37004063,0,0,0
PUNJAB,1956,29.591,30.3801,38.649,34.675,19.6323,36.0012117,29.497,30.14,30.1522,30.14,166.305796,25.7206,30.1522,83.7263,67.2196,72.06,30.1522,0,0,0
MAHARASHTRA,1956,36.044,31.392,50.252,38.776,37.0807,42.252,37.072,40.784,40,40.784,199.384,36.364,40,76.564,60.122173,82.2,44.352,0,0,0
TAMIL_NADU,1956,32.30833333,28.86666667,43.5,36.555,32.150894,43.9475,51.225,32.41666667,45.19,32.41666667,154.5391667,33.22259,45.19,68.7775,60.122173,75.01333333,36.96234725,0,0,0
MADHYA_PRADESH,1957,28.2372093,29.26511628,37.6767442,36.13139535,32.579575,42.68093023,44.47674419,30.86511628,27.94116279,30.86511628,271.0313953,24.568642,27.94116279,73.90767442,67.16858,74.7827907,37.69807093,0,0,0
