State,YEAR,RNJAN,RNFEB,RNMAR,RNAPR,RNMAY,RNJUN,RNJUL,RNAUG,RNSEP,RNOCT,RNNOV,RNDEC
PUNJAB,1956,21.6,6.8,45.3,5.1,0.7,53.5,236.5,28.7,26.7,14.1,0.2,5.3
BIHAR,1956,19.2,4.6,9.6,5.3,74.9,319,2.7,286.4,36,169,35.9,8.2
HARYANA,1956,16.8,3,24.8,0.8,2.2,5.7,23.3,161.6,21.5,132.4,4.8,0.6
MADHYA_PRADESH,1956,8,3.15,5.05,1.05,37.5,150,468.35,325.35,156.35,84.55,33.25,13.75
WEST_BENGAL,1956,9.65,17.65,24.15,95.25,92.25,545.6,362.65,391.1,338.15,186.7,7.9,3.75
KARNATAKA,1956,7.21637,1.666666667,1.533333333,50.03333333,179.8333333,45.56666667,573.8333333,101.9333333,141.7333333,239.0666667,85.33333333,1.5
RAJASTHAN,1956,4.6,0.4,3.55,0.6,0.9,18.15,233.3,146.8,8.75,102.15,17.3165755,3.3
UTTAR_PRADESH,1956,22.35,5,17.3,0.8,26.05,116.25,178.2,283.75,194.5,96.6,21.7,5.65
GUJARAT,1956,10.624555,0.1,11.857475,0.1,27.5,11.3,655.5,331.6,133.3,113,2.2,1.3
ORISSA,1956,1.4,37.9,18.2,11.9,118.1,345.2,47,434.5,249.8,191.7,6.7,13.599057
MAHARASHTRA,1956,1.5,0.2,1.1,11.3,91.2,111,36.5,252,165.8,148,9.1,1.1
ANDHRA_PRADESH,1956,3.233333333,1.9,4.452491667,32.26666667,42.23333333,95.56666667,147.3666667,118.3333333,170,191.0333333,85,21.23333333
TAMIL_NADU,1956,22.9,0.5,1,34.3,35.1,98,46,99.2,126.4,255.8,225.5,45.1
MADHYA_PRADESH,1957,7.65,0.5,33.6,11.75,5.1,75.3,286.45,349.7,113.15,9.55,17.4665755,1.05
MAHARASHTRA,1957,0.1,11.22556,4.8,2.9,36.9,177.8,196.4,22.2,98.7,85.1,26.8,0.1
UTTAR_PRADESH,1957,51.9,0.35,23.55,3.15,1.65,49.25,324.85,160.55,221.05,11.85,1.65,8.9
WEST_BENGAL,1957,9.1,17.75,17.1,3.8,92.05,137.5,188.85,278.25,133.9,55.95,3.9,8.6995285
HARYANA,1957,52.9,0.2,26.7,2.8,6.8,23.2,191,13.1,146.6,24.2,7.9,23.3
TAMIL_NADU,1957,1.2,1.3,15.1,14.8,81.1,65.4,64,6.8,73.5,23.3,2.4,77.1
ORISSA,1957,12.3,26.6,3.4,12.4,33.6,153.5,349.2,415.4,194.5,49.5,0.1,13.599057
ANDHRA_PRADESH,1957,4.074851667,2.366666667,14.1,15.56666667,31.76666667,104,15.2,202.4333333,81.6,89.46666667,56.11105033,4.666352333
GUJARAT,1957,2.4,11.22556,0.2,19.417468,6.4,156.7,261.5,196.1,16.4,7.6,8.3,0.2
RAJASTHAN,1957,23.3,5.66278,9.25,0.4,9.55,46.2,162.3,18.7,39.05,7.25,3.75,2.4
BIHAR,1957,75.2,2.8,11.7,0.5,1.3,115.4,334.2,295.2,115.4,11.6,33.733151,2.7
KARNATAKA,1957,10.624555,4.20852,5.4,17.56666667,114.9666667,348.5333333,166.8666667,136.7,77.83333333,180.2333333,83.36666667,4.599685667
PUNJAB,1957,15,4,26.6,1.6,1.8,19.5,197.5,167.4,16.1,17.2,1.3,35.5
TAMIL_NADU,1958,12.1,6,27.2,49.4,114.7,33,47.3,147.7,8,155.2,154.4,25.5
PUNJAB,1958,9.5,3.5,6.9,4.4,0.4,28,186.2,128.4,372.3,43.4,33.733151,45
MAHARASHTRA,1958,1.6,11.22556,5.4,23.6,32.9,11.9,393.3,296.6,112.1,57.4,29.2,0.1
HARYANA,1958,4,0.7,5,2.1,4.1,16.7,151.6,187,273.3,21.2,1,1.1
ANDHRA_PRADESH,1958,3.333333333,4.333333333,6.566666667,22.66666667,33.2,28.03333333,207.5666667,237.5,110.8333333,159.8333333,91.86666667,11.56635233
WEST_BENGAL,1958,10.4,21.55,14.05,25.25,163.85,291.5,16.7,556.6,323.95,82.45,5.35,8.2995285
GUJARAT,1958,1,11.22556,0.2,1.4,0.7,13.3,34.9,287.3,332.3,47.8,9.5,0.1
KARNATAKA,1958,1.933333333,0.5,7.3,33.13333333,107.3666667,116.3666667,487.6,92.26666667,163.6333333,72.16666667,46.6,1.3
UTTAR_PRADESH,1958,11.1,2.95,4.65,5,1,47.7,144.2,358.4,215.85,62.1,16.9665755,6.25
BIHAR,1958,16,2.7,4.7,26.1,16,119.9,222.3,449.4,223.8,81.1,0.7,0.6
MADHYA_PRADESH,1958,5.65,9.15,7.8,4.6,1.1,74.1,409.7,278.8,253.85,38.65,2.3,0.4
RAJASTHAN,1958,2.95,5.96278,0.6,0.4,2.3,29.6,178.15,89.55,172.85,9.55,10.35,3.35
ORISSA,1958,11.5,42.8,16,32.8,39,125.2,44.1,319.1,364.2,217.4,51.8,0.1
TAMIL_NADU,1959,3.7,34.8,0.1,51.4,68.2,83.5,6.6,62.1,99.1,187,19.4,53.4
HARYANA,1959,26.4,7.9,3.7,0.4,12.6,26.1,16.9,168.5,15.9,16.2,18.8,0.1
RAJASTHAN,1959,3.4,1.45,0.5,4.4,22.05,25.15,72.15,161.5,55.05,23.85,6.35,6.9995285
MADHYA_PRADESH,1959,36.05,1.95,0.8,6.05,12.6,80.1,416.65,361.55,242.75,34.7,3.65,13.599057
BIHAR,1959,81.1,1.5,9.3,18.7,35.7,131.7,246.3,264.6,156.9,233.8,33.733151,0.1
UTTAR_PRADESH,1959,49.95,4.05,5.25,2.8,35,31.8,128.9,277.85,51.35,65.55,9.25,13.599057
ORISSA,1959,28.5,2.4,2.7,22.2,47.1,22.7,357.4,341.6,316.5,17.5,1.5,2.7
WEST_BENGAL,1959,66.65,9.2,40.8,69.9,155.05,297.2,405.95,310.1,412.6,338.1,0.6,0.25
ANDHRA_PRADESH,1959,1.766666667,6.766666667,7.97165,14.53333333,10.66666667,109.5666667,217.3,98.66666667,147.2,110.3666667,14.06666667,6.433333333
GUJARAT,1959,10.624555,11.22556,11.857475,3,1.5,96.3,627.4,321.3,365.1,122.7,4.2,0.1
MAHARASHTRA,1959,2.4,11.22556,11.857475,16.8,39.3,174.7,344.3,199,22.7,84.7,54.9,0.1
PUNJAB,1959,43.3,21.4,1,4.8,2.3,21.5,188,21.1,133.9,24,21.9,0.5
KARNATAKA,1959,3.641518333,8.31704,4.252491667,18.33333333,53.23333333,471,769.1,84.5,295.6666667,60.9,32.83333333,9.533333333
GUJARAT,1960,1.5,11.22556,0.2,19.417468,8.4,128.9,22.7,27.7,75,6.4,33.733151,0.1
WEST_BENGAL,1960,0.35,3.95,27.95,2.85,207.75,82.35,550.5,352.3,434.65,71.5,17.1665755,13.599057
HARYANA,1960,11.1,11.22556,24.9,3.8,1.2,32.1,248.7,34.2,15.2,35.8,33.733151,9.2
PUNJAB,1960,14.2,0.1,33.3,4.7,4,44.1,243.1,234.1,8.6,0.5,33.733151,2.3
ORISSA,1960,5.4,0.8,51.6,12.4,42.7,211.4,444.1,461.7,214.6,13.8,3.6,13.9
MADHYA_PRADESH,1960,36,5.66278,18.5,3.8,3.95,122.8,199.75,444.1,68.15,34,33.733151,1.15
RAJASTHAN,1960,1,11.22556,5.1,0.7,3.25,15.95,80.5,203.6,11.4,39.927691,33.733151,3.85
UTTAR_PRADESH,1960,10.6,5.66278,35,2.6,5.85,69.65,372.85,354.6,134.65,162.45,17.1665755,7.7495285
ANDHRA_PRADESH,1960,0.766666667,7.51704,17.73333333,4.433333333,30.36666667,104.2,142.9666667,57.3,242.6,24.23333333,103.7666667,7.966666667
TAMIL_NADU,1960,5.5,9.9,21,6,6.9,35.9,146.8,55.6,18.4,134.5,354.1,21.2
KARNATAKA,1960,7.183036667,11.22556,12.86666667,21.53333333,188.7,59.66666667,168.3666667,68.7,173.6333333,104.8666667,51.76666667,4.633019
BIHAR,1960,1.4,0.1,42.5,5.2,5,117.9,357.9,285.9,348.2,38.1,2,13.599057
MAHARASHTRA,1960,3.6,11.22556,3,5.1,61.3,146.4,235,138,229,44.9,18.8,0.8
