STATENAM,YEAR,sum(AWHEAT),sum(ARICE),sum(AMAIZE),sum(AJOWAR),sum(ABAJRA),sum(ASUGAR),sum(APOTATO),sum(AGNUT),sum(ABARLEY),sum(ATOBAC),sum(AGRAM),sum(ATUR),sum(ARAGI),sum(ASESAMUM),sum(ARMSEED),sum(ACOTTON),sum(AOPULS),sum(ASOY),sum(ASUNFLWR),sum(AJUTE)
BIHAR,1956,761.655,4982.911,612.143,0,0,162.511,49.842,0,373.1,16.702,496.049,128.039,143.704,25.902,57.17,0,0,0,0,249.785
HARYANA,1956,540.789,98.269,81.466,238.47,791.602,90.217,2.294,9.018,108.604,1.262,1346.922,27.914,0,3.172,161.47,117.813,147.602,0,0,0
WEST_BENGAL,1956,84.7639668,4445.18468,56.1,0,0,24.1709312,47.9240489,0,69.9595139,15.3,194.1295573,0,0,0,72.6923081,0,0,0,0,271.827
MADHYA_PRADESH,1956,3240.3,3889.4,430.1,1644.7,172,52.91,28.759,346.08,146.964,6.52,1543.3,486.501,0,321.03,0,767.41,1026.79,0,0,0
KARNATAKA,1956,309.8,942.6,10,2597.4,534.5,54.42,0,938.5,0,44.62,159.15,401.276,0,0,0,1183.15,291.17,0,0,0
UTTAR_PRADESH,1956,3842.651,3696.181,1003.85,892.787,1125.503,1241.056,89.74,153.907,1907.173,0,2487.527,516.353,0,77.418,123.557,0,1219.886,0,0,22.597
GUJARAT,1956,511.2,482,162.4,1284.4,1789.4,12.7,0,932.3,11.1,70.9,183.1,316.667,0,142.1,25.1,1739.1,75.4,0,0,0
RAJASTHAN,1956,1354.5,93.3,501.3,853.4,3770.2,33.5,0,68.2,585.7,8.6,1542.3,23.41,0,478.6,265.9,217.4,17.8,0,0,0
ORISSA,1956,5.434,3886.21,23.736,6.933,4.49,23.269,8.555,22.055,0,4.459,20.443,14.688,67.015,99.32,51.395,9.671,0,0,0,36.774
ANDHRA_PRADESH,1956,23.1,2590.5,186.9,2491,605.3,69.83,0,1329.8,0,144.81,113.51,237.366,0,237.17,0,402.76,1183.16,0,0,0
PUNJAB,1956,1343.976,155.663,277.955,32.049,194.038,107.488,4.288,51.702,81.538,0.646,1086.87,31.834,0,12.059,123.074,455.337,130.872,0,0,0
MAHARASHTRA,1956,933.2,1204.6,0,5711.9,1857.9,102.6,0,1086.7,236.8,30.5,479.8,758.134,0,127.3,0,2620.5,554.3,0,0,0
TAMIL_NADU,1956,0,2316.4,6.1,743.8,541.4,46.47,0,736.6,0,11.94,2.18,122.249,0,119.28,0,431.11,439.04,0,0,0
MADHYA_PRADESH,1957,2544.1,3921.3,447,1972.9,176.2,46.73,28.759,384.89,146.964,3.56,1472.9,486.501,0,322.4,0,802.35,1002.44,0,0,0
MAHARASHTRA,1957,870.2,1241.4,0,5713.2,1812.8,113.4,0,1141.6,245.7,23.9,442.9,758.134,0,126.8,0,2543.4,557,0,0,0
WEST_BENGAL,1957,34.2044536,4406.27852,53.7,0,0,23.5898789,49.6821865,0,33.8056664,16.3,222.388669,0,0,0,74.20243,0,0,0,0,287.732
UTTAR_PRADESH,1957,3558.65,3736.682,1072.778,851.39,1094.224,1226.774,98.947,191.384,1686.517,0,2573.529,516.353,0,69.828,126.914,0,1394.159,0,0,28.757
HARYANA,1957,541.348,100.934,92.557,283.195,763.883,96.903,2.451,7.535,136.421,0.782,1382.872,27.914,0,3.443,185.425,136.227,114.177,0,0,0
ORISSA,1957,5.638,3896.219,23.472,6.783,4.493,23.067,9.94,22.501,0,4.62,20.289,14.365,68.271,97.257,45.405,9.194,0,0,0,38.036
TAMIL_NADU,1957,0,2266.5,5.6,696.9,485.9,58.01,0,776.86,0,10.07,4.13,122.249,0,112.49,0,413.04,466.59,0,0,0
ANDHRA_PRADESH,1957,16.5,2487,205,2563.1,587.7,69.21,0,1274.17,0,132.62,106.62,237.366,0,241.56,0,338.39,1164,0,0,0
GUJARAT,1957,364.2,492.9,196.7,1357.5,1667.1,14.4,0,1515.1,5.7,65.7,48.9,316.667,0,138.9,40.1,1874.1,78.9,0,0,0
KARNATAKA,1957,312.5,959,10.4,2716.6,504.2,58.39,0,978.73,0,44.86,159.78,401.276,0,0,0,1094.14,284.89,0,0,0
RAJASTHAN,1957,1067.3,68.3,586.4,1054.8,3847,34,0,70.2,506.2,3.7,1238.4,23.41,0,443,345.8,234.8,18.8,0,0,0
BIHAR,1957,480.779,4942.319,696.453,0,0,152.929,62.773,0,322.697,14.343,451.18,164.367,166.563,19.534,61.77,0,0,0,0,192.847
PUNJAB,1957,1329.441,174.537,289.48,31.047,164.248,103.616,5.877,51.086,85.548,0.554,976.516,31.834,0,11.932,114.583,487.112,88.562,0,0,0
BIHAR,1958,613.496,5233.772,770.468,0,0,163.66,70.016,0,412.844,16.27,588.677,208.545,196.7,28.339,86.048,0,0,0,0,184.122
HARYANA,1958,565.243,115.876,96.395,259.742,803.019,95.157,2.328,6.967,108.492,0.938,1510.106,27.914,0,3,182.483,116.663,108.223,0,0,0
ANDHRA_PRADESH,1958,16.5,2661,190.3,2640.3,650.5,66.27,0,958.36,0,145.01,103.77,237.366,0,211.51,0,304.66,1163.82,0,0,0
WEST_BENGAL,1958,39.2611331,4265.58905,54.1,0,0,26.7275304,49.6457489,0,41.4574892,15.7,248.2186238,0,0,0,89.9392705,0,0,0,0,323.344
GUJARAT,1958,418.7,487.9,201.6,1465.6,1657.9,13.3,0,1570.9,8.6,71.4,123.6,316.667,0,146.5,44.4,1806.2,82.1,0,0,0
TAMIL_NADU,1958,0,2272.6,6.3,786.3,500.9,54.85,0,808.21,0,14.51,1.8,122.249,0,152.57,0,404.66,420.54,0,0,0
UTTAR_PRADESH,1958,3673.848,3969.134,1073.875,912.284,1078.94,1111.162,104.063,193.451,1768.58,0,2722.045,516.353,0,80.748,131.519,0,1368.727,0,0,14.661
KARNATAKA,1958,310.1,1000,10.4,2796.3,517.4,58.92,0,943.58,0,35.91,154.96,401.276,0,0,0,1076.35,290.7,0,0,0
MADHYA_PRADESH,1958,2799.6,3980.8,452.6,1944.2,177.7,34.41,28.759,452.95,146.964,4.67,1491.6,486.501,0,362.17,0,852.84,1087.82,0,0,0
RAJASTHAN,1958,1182.4,78.7,579.2,1102.8,4001.1,19.7,0,67,535.9,5.9,1588.6,23.41,0,490.6,300.8,240.7,17.9,0,0,0
PUNJAB,1958,1479.23,200.5,325.544,28.865,166.211,107.309,7.151,55.231,89.961,0.638,1095.553,31.834,0,14.999,98.167,490.268,81.317,0,0,0
ORISSA,1958,6.312,3910.521,21.974,7.418,3.199,22.298,9.834,22.581,0,4.094,16.568,13.436,66.733,95.02,32.861,7.939,0,0,0,39.604
MAHARASHTRA,1958,859.7,1255.9,0,5951.2,1800.7,134.1,0,1161.2,231,21.8,425.9,758.134,0,146.4,0,2566.7,564.5,0,0,0
RAJASTHAN,1959,1227.2,100.2,608.4,1080.9,3801.2,28,0,85.6,554.7,6.7,1719,23.41,0,554.6,206.2,236.7,25.5,0,0,0
HARYANA,1959,582.647,130.603,122.444,259.719,714.755,116.806,3.151,7.472,119.479,0.835,1399.836,27.914,0,2.374,138.719,89.403,125.089,0,0,0
MADHYA_PRADESH,1959,3169.9,4071.6,459.4,1834.7,163.9,40.01,28.759,445.24,146.964,5.2,1634.1,486.501,0,354.42,0,716.18,1090.23,0,0,0
BIHAR,1959,652.846,4970.913,802.684,0,0,179.271,70.518,0,435.526,18.328,578.413,204.684,202.324,32.954,93.685,0,0,0,0,161.441
UTTAR_PRADESH,1959,3698.888,3984.162,1081.266,911.303,1076.567,1191.4,113.566,185.193,1756.286,0,2693.795,516.353,0,76.956,120.547,0,1332.029,0,0,13.235
WEST_BENGAL,1959,48.3663978,4419.272064,56.3,0,0,32.8275302,57.589068,0,64.6153851,15.2,297.6518151,0,0,0,108.5627525,0,0,0,0,291.86
