STATENAM,YEAR,sum(QWHEAT),sum(QRICE),sum(QMAIZE),sum(QJOWAR),sum(QBAJRA),sum(QSUGAR),sum(QPOTATO),sum(QGNUT),sum(QBARLEY),sum(QTOBAC),sum(QGRAM),sum(QTUR),sum(QRAGI),sum(QSESAMUM),sum(QRMSEED),sum(QCOTTON),sum(QOPULS),sum(QSOY),sum(QSUNFLWR),sum(QJUTE)
BIHAR,1956,184.533,3795.153,378.28400000000005,0.0,0.0,372.91599999999994,291.57000000000005,0.0,128.316,7.415,145.68200000000002,48.937999999999995,74.26500000000001,6.748000000000002,12.182,0.0,0.0,0.0,0.0,225.40752
HARYANA,1956,641.9399999999999,82.84599999999999,103.63700000000001,38.711,179.02800000000002,253.69799999999998,35.561,5.9620000000000015,112.88300000000001,0.775,1108.206,27.958,0.0,0.784,56.899,30.445379999999997,37.391,0.0,0.0,0.0
WEST_BENGAL,1956,27.198261500000005,4801.670153000001,40.51500000000001,0.0,0.0,117.7121715,313.6119996,0.0,29.4997451,9.319,120.3122234,0.0,0.0,0.0,25.046186099999996,0.0,0.0,0.0,0.0,243.97758
MADHYA_PRADESH,1956,1730.1999999999998,3316.4,188.9,1099.5999999999997,91.10000000000001,169.79999999999995,337.668,201.10000000000002,138.63099999999997,4.320000000000001,1007.1000000000003,417.363,0.0,67.4,0.0,101.21999999999998,436.53000000000014,0.0,0.0,0.0
KARNATAKA,1956,65.39999999999999,1068.6999999999998,8.399999999999999,851,112.6,344.54999999999995,0.0,657.05,0.0,18.009999999999998,40.97,181.318,0.0,0.0,0.0,71.14000000000001,79.56,0.0,0.0,0.0
UTTAR_PRADESH,1956,3023.738,2122.327,997.5340000000002,446.545,481.1750000000001,3574.218,591.5169999999998,178.716,1556.099,0.0,1531.216,762.109,0.0,12.841,57.47699999999999,0.0,647.9590000000001,0.0,0.0,28.51992000000001
GUJARAT,1956,278.40000000000003,346.00000000000006,73.19999999999999,384.99999999999994,431.4,71.30000000000001,0.0,574.7,50.2,51.4,59.2,206.86499999999998,0.0,22.299999999999997,14.200000000000001,172.3,39.199999999999996,0.0,0.0,0.0
RAJASTHAN,1956,1336.4,87.30000000000001,328.9,215.3,545.8,68.99999999999999,0.0,38.699999999999996,721.3,4.8999999999999995,1190.2000000000003,7.410999999999999,0.0,91.89999999999999,112.10000000000001,30.10000000000001,5.799999999999999,0.0,0.0,0.0
ORISSA,1956,3.466999999999999,2303.5480000000002,9.465000000000002,3.2109999999999994,1.111,95.84400000000001,27.980000000000004,15.881000000000002,0.0,2.8129999999999997,5.632,9.090000000000002,27.295999999999996,20.107,20.905,2.0759999999999996,0.0,0.0,0.0,33.05951999999999
ANDHRA_PRADESH,1956,5.1,2987.7999999999997,103.70000000000002,1093.4,296.59999999999997,567.03,0.0,1215.1699999999998,0.0,119.93,32.23,67.234,0.0,44.529999999999994,0.0,23.190000000000005,236.59000000000003,0.0,0.0,0.0
PUNJAB,1956,1376.4180000000001,162.425,471.24299999999994,5.356,64.498,297.317,74.376,43.246,65.53599999999999,0.41500000000000004,810.7059999999999,34.733000000000004,0.0,1.392,56.271,105.23538,39.016,0.0,0.0,0.0
