YEAR,WHEAT,RICE,MAIZE,JOWAR,BAJRA,SUGAR,POTATO,GNUT,BARLEY,TOBAC,GRAM,TUR,RAGI,SESAMUM,RMSEED,COTTON,OPULS,SOY,SUNFLWR,JUTE
1956,12951.36897,28783.21868,3352.05,16496.839,11386.333,2021.141931,231.4020489,5674.862,3520.938514,356.259,9655.280557,3064.431,210.719,1643.351,880.3583081,7944.251,5086.02,0,0,580.983
1957,11124.86045,28693.36952,3679.54,17247.415,11107.748,2021.018879,258.4291865,6414.056,3169.552666,321.009,9100.404669,3100.436,234.834,1587.144,994.19943,7932.753,5169.518,0,0,547.372
1958,11964.39013,29432.29205,3782.756,17895.009,11357.569,1907.86353,271.7967489,6240.43,3343.798489,336.84,10071.39762,3143.685,263.433,1731.856,966.2172705,7866.98,5185.647,0,0,561.731
1959,12724.8264,30077.45306,3881.671,17645.206,10645.07,2078.81453,290.731068,6449.811,3393.273385,364.333,10336.76982,3140.471,269.401,1657.272,845.3067525,7220.447,5203.516,0,0,497.293
1960,12259.01078,30315.49543,3925.277,18411.868,11482.312,2353.335932,291.1394364,6449.22,3220.483023,353.806,9229.449101,3122.379,277.621,1455.727,840.69047,7536.802,5155.862,0,0,489.865
1961,12889.73899,30824.53736,4008.38,18168.785,11188.842,2390.901207,288.0748851,6863.323,3375.955174,373.894,9624.307995,3103.315,269.411,1570.033,1029.5787,7895.384,5367.296,0,0,762.213
1962,12944.41215,31677.66138,4130.59,18173.589,10920.625,2198.128166,330.7202469,7181.743,3112.271024,370.229,9188.558963,3115.714,252.968,1763.01,1109.142456,7680.431,5349.01,0,0,699.526
1963,12820.9591,31787.34597,4105.517,18284.124,11026.288,2178.309121,335.7710639,6858.188,2893.814,398.142,9281.22,3142.517,253.665,1602.892,1048.668,8085.619,5436.779,0,0,721.269
1964,12808.17939,32302.39795,4093.291,17962.711,11646.384,2521.210874,348.001814,7284.132,2802.613061,366.23,8687.436945,3112.491,250.222,1668.666,897.0104304,8227.315,5379.24,0,0,697.079
1965,12002.20311,31246.64219,4249.093666,17549.12307,11599.95618,2741.114569,396.7952627,7608.404189,2773.972264,333.038,7912.280596,3121.302,276.524,1749.206895,924.9409314,7765.833,5044.473341,0,0,611.438
1966,12112.2604,30911.42466,4594.014046,18127.12841,12403.77994,2208.659363,385.2017703,7475.983846,2965.687499,390.779,7845.070532,3101.919,290.966,2116.003796,1032.896701,7603.993,5054.245899,0,0,647.301
1967,14068.19444,31814.29866,5069.175283,17983.07408,12686.54849,1967.842543,403.2700837,7674.11745,3439.069369,397.97,7900.180079,3146.789,346.084,1987.754222,1101.517613,7571.732,5300.308632,0,0,721.995
1968,14775.365,31410.787,5101.943,17539.577,12253.934,2464.759,420.871,7366.809,2898.348,415.374,6713.945,3127.42,333.882,1723.904541,727.162458,7461.424,5410.737,0,0,412.14
1969,15801.249,32606.638,5200.198,16925.035,12452.676,2691.309,385.573,6987.35,2812.17,409.931,7432.683,3140.502,331.268,1675.15171,875.7342904,7714.49,5408.147,0,0,632.874
1970,16985.098,32603.906,5293.392,16797.845,13261.518,2495.695,391.667,7540.747,2629.426,401.073,7688.976,3123.099,333.796,1757.408737,1014.992263,7735.976,5442.42,0,0,606.486
1971,17877.213,32942.312,5160.108,16444.119,11774.509,2314.3,412.337,7925.181,2496.555,426.287,7851.63,3067.533,286.978,1781.745034,1257.023965,8260.385,5255.009,0,0,656.783
1972,18311.62,32117.409,5176.185,16670.688,12499.288,2433.154,402.618,7411.269,2457.109,422.76,6749.026,3107.035,294.135,1523.631225,1164.039775,8084.473,5139.141,0,0,554.281
1973,17703.729,33317.744,5480.499,17004.668,13969.473,2778.436,431.106,7199.248,2667.115,432.958,7521.638,3092.742,403.821,1654.259274,1289.732727,7801.184,5588.408,0,0,638.457
1974,16615.879,32986.264,5199.483,16122.758,11395.543,2916.234,475.864,7300.539,2832.525,314.593,6865.34,3084.941,352.699,1547.164237,1501.620765,7673.576,5027.46,0,0,502.982
1975,18854.668,34232.797,5314.298,15965.598,11290.342,2848.367,494.869,7297.945,2835.756,338.496,7944.333,3084.341,418.617,1468.668,1170.858,7515.81,6363.55,0,0,453.466
1976,19521.339,33498.63,5230.736,15756.057,10716.018,2770.466,490.389,7169.794,2313.9,433.468,7159.01,3058.987,443.977,1425.385,956.122,6857.247,6306.240006,0,0,586.16
1977,19808.445,35327.6,5110.643,16037.616,10923.597,3031.203,506.318,7098.043,2497.153,525.849,7180.738,3072.148,459.501,1505.192,1324.561,7669.728,6295.080002,0,0,632.55
1978,21159.66,35700.88,5080.382,15923.888,11232.006,2948.989,636.907,7351.587,2057.814,383.391,6966.016,3080.483,460.017,1563.914,1267.629,7655.353,6629.560003,0,0,704.808
1979,20544.496,34471.061,5111.111,16901.154,11334.324,2419.423825,552.444,6452.826014,1589.720022,352.4121872,6627.335279,3082.837,433.167,1507.53984,1173.914996,7766.180044,9358.188917,0,0,658.631
1980,21112.891,35153.01,5363.204,16164.735,11580.32,2470.234557,585.104,5969.900892,1615.897525,363.9192989,6057.779984,3095.597,513.748,1587.923412,1440.596002,7474.00092,9673.440748,0,111.561,749.069
1981,20908.749,35676.91006,5244.059,16581.061,11617.899,2967.361435,641.072,6462.804744,1566.903528,366.9918493,7259.092204,3110.66,456.086,1651.004063,1883.733501,7697.087591,9732.061939,9.841,225.248,655.847
1982,21935.993,32382.711,4989.001,16403.216,10820.597,3155.108548,593.443,7192.028251,1357.764523,458.3891881,7054.367279,3123.843,436.618,1729.111057,1824.474019,7396.182908,8856.556764,666.234,426.261,567.588
1983,23264.431,35877.6,5105.302,16131.518,11675.043,2959.530755,659.983,7607.522811,1316.176523,469.1851881,6891.611063,3142.047,448.464,1754.022057,2005.71902,7310.434808,9814.928697,732.601,661.1,595.727
1984,22023.074,35671.847,4987.894,15492.481,10409.139,2865.599,736.623,7496.534,1157.158,344.373,6755.593,3118.7,388.467,1734.001,2941.255,7135.943,0,1073.989,679.614,674.447
1985,21437.44901,35438.849,5131.313,15593.772,10489.324,2731.394,737.194,7045.769,1278.074,320.001,7544.46399,3136.268,411.353,1859.182,2825.563,7265.06701,0,1176.8,807.688,938.635
1986,21135.95699,35457.051,5088.83,15448.521,10992.966,2930.515,713.895,6995.465,1133.465,304.567,6642.32001,3152.006,394.092,1663.974,2700.372,6796.17501,0,1265.69,981.291,643.561
1987,21243.648,33272.821,4791.698,15653.955,8586.905,3141.944,758.247,6588.009,1056.789,260.799,5679.399,3206.438,347.55,1547.938,3255.961,6160.57001,0,1497.92,1708.409,538.765
