STATENAM,YEAR,QWHEAT,QRICE,QMAIZE,QJOWAR,QBAJRA,QSUGAR,QPOTATO,QGNUT,QBARLEY,QTOBAC,QGRAM,QTUR,QRAGI,QSESAMUM,QRMSEED,QCOTTON,QOPULS,QSOY,QSUNFLWR,QJUTE
BIHAR,1956,184.533,3795.153,378.284,0,0,372.916,291.57,0,128.316,7.415,145.682,48.938,74.265,6.748,12.182,0,0,0,0,225.40752
HARYANA,1956,641.94,82.846,103.637,38.711,179.028,253.698,35.561,5.962,112.883,0.775,1108.206,27.958,0,0.784,56.899,30.44538,37.391,0,0,0
WEST_BENGAL,1956,27.1982615,4801.670153,40.515,0,0,117.7121715,313.6119996,0,29.4997451,9.319,120.3122234,0,0,0,25.0461861,0,0,0,0,243.97758
MADHYA_PRADESH,1956,1730.2,3316.4,188.9,1099.6,91.1,169.8,337.668,201.1,138.631,4.32,1007.1,417.363,0,67.4,0,101.22,436.53,0,0,0
KARNATAKA,1956,65.4,1068.7,8.4,851,112.6,344.55,0,657.05,0,18.01,40.97,181.318,0,0,0,71.14,79.56,0,0,0
UTTAR_PRADESH,1956,3023.738,2122.327,997.534,446.545,481.175,3574.218,591.517,178.716,1556.099,0,1531.216,762.109,0,12.841,57.477,0,647.959,0,0,28.51992
GUJARAT,1956,278.4,346,73.2,385,431.4,71.3,0,574.7,50.2,51.4,59.2,206.865,0,22.3,14.2,172.3,39.2,0,0,0
RAJASTHAN,1956,1336.4,87.3,328.9,215.3,545.8,69,0,38.7,721.3,4.9,1190.2,7.411,0,91.9,112.1,30.1,5.8,0,0,0
ORISSA,1956,3.467,2303.548,9.465,3.211,1.111,95.844,27.98,15.881,0,2.813,5.632,9.09,27.296,20.107,20.905,2.076,0,0,0,33.05952
ANDHRA_PRADESH,1956,5.1,2987.8,103.7,1093.4,296.6,567.03,0,1215.17,0,119.93,32.23,67.234,0,44.53,0,23.19,236.59,0,0,0
PUNJAB,1956,1376.418,162.425,471.243,5.356,64.498,297.317,74.376,43.246,65.536,0.415,810.706,34.733,0,1.392,56.271,105.23538,39.016,0,0,0
MAHARASHTRA,1956,322,1187.6,0,3015.6,439.5,776.5,0,752.5,171,14,159.2,436.3,0,29.2,0,220.3,355.1,0,0,0
TAMIL_NADU,1956,0,3247.5,6.6,477.6,243.5,303.17,0,883.54,0,28.35,1.84,77.932,0,38.51,0,60.32,113.35,0,0,0
MADHYA_PRADESH,1957,1121,2118.2,187.6,1404.4,111.1,119.3,337.668,233.35,138.631,1.7,609.7,417.363,0,45.8,0,79.96,347.64,0,0,0
MAHARASHTRA,1957,291.9,1173.9,0,2965,507.7,863.5,0,656.8,166.3,13,131.6,436.3,0,29.2,0,228.5,332.2,0,0,0
WEST_BENGAL,1957,19.6828696,4364.424227,38.636,0,0,85.9498,395.7261152,0,12.9520849,10.754,120.6101602,0,0,0,26.0418945,0,0,0,0,310.7097
UTTAR_PRADESH,1957,2588.362,2139.964,793.1,494.24,619.462,3119.652,701.69,144.155,1214.166,0,1440.12,762.109,0,9.637,56.211,0,690.799,0,0,28.65348
HARYANA,1957,595.608,108.495,90.124,100.895,213.371,340.479,35.46,5.748,124.263,0.736,1027.931,27.958,0,1.096,70.615,27.6381,39.829,0,0,0
ORISSA,1957,3.586,1728.609,9.392,2.974,1.839,84.588,32.03,16.015,0,3.064,5.539,8.499,25.73,20.519,18.451,1.97,0,0,0,37.21572
TAMIL_NADU,1957,0,3185.7,6.2,542.5,277.3,375.41,0,920.45,0,14.54,2.25,77.932,0,35.04,0,61.54,120.35,0,0,0
ANDHRA_PRADESH,1957,4.4,2849.5,119.6,1294.6,324.6,593.26,0,1063.66,0,105.11,32.81,67.234,0,41.11,0,23.52,219.67,0,0,0
GUJARAT,1957,206.7,231.1,199.5,310.3,586.2,81.4,0,840.2,49.8,28.7,12.6,206.865,0,21.3,14.5,157.3,31.9,0,0,0
KARNATAKA,1957,71.1,1189.4,8.7,1149.3,80.3,368.19,0,716.02,0,19.86,37.64,181.318,0,0,0,80.2,103.69,0,0,0
RAJASTHAN,1957,840,21.8,564.4,323.7,824.4,74.7,0,37.1,520.9,1.7,586.7,7.411,0,53.8,117.3,38.3,6,0,0,0
BIHAR,1957,274.7,2325.773,375.453,0,0,447.785,280.417,0,160.721,9.061,218.911,83.058,77.871,3.935,19.025,0,0,0,0,128.3778
