STATENAM,YEAR,YWHEAT,YRICE,YMAIZE,YJOWAR,YBAJRA,YSUGAR,YPOTATO,YGNUT,YBARLEY,YTOBAC,YGRAM,YTUR,YRAGI,YSESAMUM,YRMSEED,YCOTTON,YOPULS,YSOY,YSUNFLWR,YJUTE
BIHAR,1956,3.5842822,13.1808513,11.0967874,0,0,24.8835858,83.3136626,0,5.4530511,7.7413435,4.7753492,6.1214276,8.6287592,4.8344069,3.4114276,0,0,0,0,6.5373565
HARYANA,1956,5.8333821,4.4177104,6.3523493,0.9846001,1.4451067,13.3316033,71.1430825,39.7567662,6.3927543,3.5983107,5.0556725,5.8048724,0,1.6931206,2.0081087,1.1945578,1.7401315,0,0,0
WEST_BENGAL,1956,6.2338314,15.741685,8.7808333,0,0,68.5540986,81.2353784,0,4.2511217,2.82,8.151901,0,0,0,5.3067566,0,0,0,0,12.780432
MADHYA_PRADESH,1956,23.4680734,31.0413087,18.8094224,26.1532945,13.6199804,130.2212387,503.2833334,17.1428672,34.5042713,27.7928572,26.0002288,35.2489299,0,9.0383628,0,2.7583365,19.7791701,0,0,0
KARNATAKA,1956,1.5714747,19.1975084,4.3918128,6.1139871,4.4780955,106.8652143,0,10.9959243,0,7.9884356,4.4800961,8.314695,0,0,0,2.1997706,5.1192707,0,0,0
UTTAR_PRADESH,1956,36.6563895,30.1893259,45.2759609,18.4517882,21.3141921,124.3994017,324.8150396,53.1766704,39.9704068,0,28.2572351,68.3192428,0,11.8270917,24.0119562,0,24.049932,0,0,54.8733425
GUJARAT,1956,10.1164375,13.664518,6.5735669,5.5144613,4.4269737,68.647223,0,11.200209,3.2526316,5.6447287,4.7550574,9.9368122,0,3.1151813,2.5354631,1.7407883,5.5246905,0,0,0
RAJASTHAN,1956,26.4815691,10.9037744,11.312744,4.6058569,4.4694219,33.864561,0,9.9720718,30.6163073,13.6035567,14.8602579,6.6023424,0,4.5022925,7.425095,2.4068956,3.8415585,0,0,0
ORISSA,1956,6.915323,7.5644696,5.853635,3.8067672,2.9356788,48.1628998,39.6827958,10.2262849,0,9.1550355,5.3200791,8.3081164,4.9582927,2.9356627,5.9456227,2.7008926,0,0,0,9.146439
ANDHRA_PRADESH,1956,2.8552649,19.8881432,10.5002443,8.3953292,8.1580032,116.3447711,0,16.6330049,0,13.6700483,6.8558099,5.5729438,0,3.8516799,0,0.9197328,3.7901686,0,0,0
PUNJAB,1956,10.2215819,10.1394241,17.3833807,1.9548695,2.5644885,28.2142923,173.679637,18.764764,7.9213954,5.2334399,8.0953891,9.0109894,0,2.2335705,4.4562425,2.1817449,3.316255,0,0,0
MAHARASHTRA,1956,8.2020531,24.7478641,0,13.5651748,6.1650378,107.2312791,0,18.017982,9.1600516,9.0734814,8.3482845,14.0514708,0,6.0495871,0,1.8663104,15.5057006,0,0,0
TAMIL_NADU,1956,0,17.7025713,8.4999999,7.1423345,4.9910157,61.3194705,0,12.9881156,0,12.795286,4.7247285,6.762278,0,3.4625157,0,1.3065579,3.0995757,0,0,0
MADHYA_PRADESH,1957,18.9821972,21.098324,17.9812038,27.9331449,11.1428914,105.6175531,503.2833334,17.2792157,34.5042713,17.85,16.5495143,35.2489299,0,6.5175822,0,2.5804283,16.2027249,0,0,0
MAHARASHTRA,1957,7.9119954,18.4622147,0,12.4615007,4.8079851,113.1633911,0,12.4642018,10.1079971,7.3774024,6.7719349,14.0514708,0,6.2390863,0,1.9163534,14.2161461,0,0,0
WEST_BENGAL,1957,8.8671453,14.4544065,7.2608333,0,0,55.3191114,96.174046,0,5.0200299,4.05,6.8095387,0,0,0,5.3122882,0,0,0,0,16.6318737
UTTAR_PRADESH,1957,34.3527545,29.4746193,34.7109613,28.2834697,25.3563714,116.1727951,330.7431289,31.5674691,33.1257549,0,26.6158525,68.3192428,0,12.1321788,27.5290704,0,22.3801949,0,0,38.7440896
HARYANA,1957,5.4870958,5.1959892,4.8654703,2.0140382,1.9543639,17.1684051,64.983916,57.0273088,5.1356114,5.4960747,4.4425557,5.8048724,0,2.1312605,2.1431732,0.9365522,2.0844107,0,0,0
ORISSA,1957,6.9053398,5.8533367,5.8518171,3.6005556,5.1256717,46.3550186,39.5056166,9.9285555,0,8.7193095,5.4120225,6.8610865,4.4786788,2.7718792,4.5419442,2.9300863,0,0,0,11.4234082
TAMIL_NADU,1957,0,18.0190335,8.4330316,8.7423921,5.7514973,67.9405844,0,13.0263488,0,11.225873,5.026891,6.762278,0,4.1065985,0,1.7258612,3.1556773,0,0,0
ANDHRA_PRADESH,1957,4.8703182,20.4884582,10.9539597,9.5112836,10.5960206,144.5146185,0,15.3358752,0,13.8526208,6.4861896,5.5729438,0,3.587473,0,1.0880497,3.6849521,0,0,0
GUJARAT,1957,10.0418308,12.525246,9.4884971,4.7710192,6.0733939,71.6182924,0,8.937427,6.5333337,4.0858136,3.9329205,9.9368122,0,2.9881747,2.1152535,1.5307841,4.7446972,0,0,0
KARNATAKA,1957,1.9109457,24.8629845,2.7494152,7.4283273,1.9569745,105.1662504,0,11.1806279,0,8.5079128,4.0271265,8.314695,0,0,0,1.2892018,6.9270567,0,0,0
RAJASTHAN,1957,21.1180575,7.5838892,16.4612733,6.5393045,5.5983906,33.2741741,0,8.4332383,29.3634438,6.65,9.8564349,6.6023424,0,3.0547803,5.0516888,2.6258792,3.4939861,0,0,0
BIHAR,1957,9.3288641,7.5413565,9.6151013,0,0,36.2559581,63.2523131,0,7.2486081,9.0559365,6.7131488,8.3547532,7.3810289,4.0416709,5.0350887,0,0,0,0,6.4419004
PUNJAB,1957,10.0857122,9.1603064,14.3106823,2.4361091,3.847275,33.6844017,148.402719,32.7048236,8.9357942,10.4611176,7.931714,9.0109894,0,2.6843375,4.1521157,2.1448899,3.7923094,0,0,0
BIHAR,1958,10.9166876,15.0401444,10.1897011,0,0,60.6496517,93.0701546,0,11.7272611,11.31538,8.9184271,9.6783108,7.6069899,5.1493389,6.7080288,0,0,0,0,11.6071479
HARYANA,1958,5.7999009,5.4285443,3.5524299,1.0387434,1.6052973,17.6353626,68.369035,46.4614008,5.2314735,5.1842034,5.5972073,5.8048724,0,1.6125503,2.4754222,0.8525998,2.2019942,0,0,0
ANDHRA_PRADESH,1958,4.156948,22.2187187,17.1817044,11.0803487,8.5463083,141.3052163,0,15.9030779,0,12.7046759,6.565429,5.5729438,0,3.7299929,0,1.0688587,3.751863,0,0,0
