YEAR,WHEAT,RICE,MAIZE,JOWAR,BAJRA,SUGAR,POTATO,GNUT,BARLEY,TOBAC,GRAM,TUR,RAGI,SESAMUM,RMSEED,COTTON,OPULS,SOY,SUNFLWR,JUTE
1956,142.1396628,218.3791544,154.8307369,96.6884633,74.5679943,932.0396392,1277.152929,218.8746603,141.5219911,119.1165235,129.6800891,184.0541207,13.5870519,53.5434717,55.1006724,19.2755874,85.7664532,0,0,83.33757
1957,139.8622565,194.7201647,142.6822463,113.7211449,82.2108354,946.250554,1246.345073,217.8850917,139.9748444,107.3320609,110.5758439,184.8404164,11.8597077,50.2550219,55.8806227,18.7680861,80.6821554,0,0,73.2412719
1958,165.8756842,230.4941054,167.7399623,123.2137443,88.7982292,976.5264173,1320.211813,242.8914151,149.5434762,124.8064871,137.8753237,185.8044973,13.1325596,59.5528439,67.8125832,18.3929458,110.7871313,0,0,83.1433901
1959,162.037833,229.6355589,168.982956,117.295837,85.4092468,979.6874638,1325.044479,250.9220412,142.8646895,132.6490853,122.2227722,183.8052939,14.4886963,48.3172236,46.8155066,17.7655929,106.0546102,0,0,82.8171223
1960,177.0343421,232.6372645,176.0615395,117.2480913,86.3720746,1089.761573,1342.382784,189.8970892,154.6048271,154.2532354,134.372115,185.0094395,12.8065722,43.6088724,51.6384537,23.7104411,108.7384042,0,0,82.3213412
1961,189.1001398,250.5120571,187.602607,99.9417464,84.3334414,1069.976619,1257.580371,209.5523968,156.0292833,157.2448832,130.4152062,184.6304939,13.230834,49.9492507,52.5370561,22.539071,103.1520329,0,0,89.9146613
1962,167.8770059,223.5593219,195.0659237,125.6523457,98.1569805,1055.05133,1359.168281,245.3641347,138.5432352,249.7871036,134.3574326,188.323059,16.2274282,53.5248662,52.5466975,24.2552683,96.4680136,0,0,92.7855147
1963,154.3410518,244.9242943,208.6357901,117.7973756,108.4746631,1117.577771,1205.860374,196.0010462,131.9487938,167.1892188,117.7826375,187.7996969,17.5901001,54.8092177,36.2261437,20.5836068,83.7971679,0,0,91.274231
1964,183.6610063,252.550845,229.7724495,135.7697652,105.5106269,1145.385277,1518.748201,295.0593021,157.9176555,178.1621304,140.8878098,191.5277902,14.3069148,61.1977244,56.7258202,30.0366846,101.3197147,0,0,96.3241212
1965,166.8726825,182.2590322,210.3090344,118.8130385,85.3984715,1115.95904,1527.788191,249.869503,163.0410761,148.0950167,120.8724115,189.5106361,16.1512507,56.3034403,52.1896721,31.498979,87.165618,0,0,84.2395696
1966,169.7257179,198.2821453,219.2713771,118.5762562,99.2052996,1097.948099,1345.203182,203.5794819,142.4757641,149.1653026,111.3291014,184.9006927,18.2555755,63.7756242,51.8960567,31.112458,71.859544,0,0,83.8860772
1967,213.2794324,228.7881438,236.8318084,138.6232253,94.8952605,1140.626061,1459.951127,174.4187637,166.6293345,149.8968923,143.314348,189.6501801,23.7238967,60.5592723,56.6499899,33.0745031,98.9598092,0,0,95.1132006
1968,229.4986896,227.5378869,209.0347546,138.8717928,86.9629522,1222.67563,1564.120438,177.588735,147.8704261,160.5996754,139.5666762,190.5976115,20.3129112,54.5057192,51.9754161,32.3503679,101.7291354,0,0,80.1300292
1969,240.9800146,245.2754519,227.1498474,145.9220756,109.3685422,1172.388684,1425.059579,194.4849057,155.5379127,227.014156,154.334211,190.45434,16.9065118,60.5819453,58.5852931,25.5007525,95.2784621,0,0,83.6246528
1970,276.9390519,268.5576931,299.7371233,145.2903416,167.0423307,1240.705055,1597.110648,181.8651169,167.9608473,197.2372804,156.2035775,191.5722979,20.5401796,65.3495399,68.9610595,26.5879006,105.0271524,0,0,82.8599952
1971,294.0817636,272.9501555,231.7437213,119.1553474,98.3918184,1265.443299,1599.788077,176.7948961,165.5417237,173.7455261,151.6385276,186.8013848,16.1935602,58.3959602,54.1389621,33.3526447,103.2945857,0,0,85.6406856
1972,269.418087,240.1586124,244.2717381,138.0245238,94.9187202,1236.972142,1496.557359,362.5883486,144.1312607,138.2966142,141.9451474,192.8671326,18.7754798,57.7413261,60.3147044,29.6926271,94.3525907,0,0,73.377575
1973,255.1491531,291.5892606,241.7139543,146.0605418,120.3778331,1275.606466,1521.758146,182.5138736,169.1494751,133.6118487,138.0881086,187.0558181,20.7672968,59.4171555,55.3360591,30.6864548,86.6213506,0,0,60.009884
1974,284.849058,245.9975834,230.8081605,151.2069442,98.707133,1250.182747,1645.042256,180.0881277,180.094594,133.2902994,139.5464651,189.8838194,13.9979321,60.7063378,68.4117522,34.1827696,99.5558885,0,0,58.6539096
1975,321.5664464,311.0387244,287.949427,164.993807,120.8323259,1360.14482,1859.32382,207.3473255,212.7723716,178.5036906,164.9561808,188.7688332,15.5250717,69.8889532,69.1656879,32.6920594,114.7724952,0,0,63.3021024
1976,302.1232803,299.0695391,270.6871263,158.1898664,132.6265904,1241.065194,1771.575765,159.4983914,156.0720762,151.4257751,158.763633,186.3245525,16.8899637,56.0103794,56.8838049,34.0991089,95.5429193,0,0,70.3453561
1977,327.9577913,347.9510376,261.4851655,178.4387356,121.0005049,1351.651156,1941.384058,180.1284546,170.033877,152.6723264,148.1086165,188.1995492,19.319382,59.8217345,68.1385808,33.7886118,99.1168872,0,0,71.4883613
1978,331.6560131,359.8283937,272.6158853,162.2121858,120.5767037,1248.883514,1986.8944,171.5200313,167.0152896,167.6827352,153.317667,182.8625582,21.1513517,55.8812474,68.7016721,41.6334398,100.6840124,0,0,67.4881228
