STATENAM,YEAR,CROP,AREA,PRICE,PROD,YIELD,ANN_RAIN,AVG_TEMP
ANDHRA_PRADESH,1956,BAJRA,605.3,25.79473684,296.6,605.3,912.6191583,27.21991875
ANDHRA_PRADESH,1957,BAJRA,587.7,30.52105263,324.6,587.7,621.3522543,27.21991875
ANDHRA_PRADESH,1958,BAJRA,650.5,32.72105263,345.4,650.5,917.2996856,27.21991875
ANDHRA_PRADESH,1959,BAJRA,630.1,33.97894737,315.1,630.1,745.3049834,27.21991875
ANDHRA_PRADESH,1960,BAJRA,616.4,36.4,296.3,616.4,743.8503734,27.21991875
ANDHRA_PRADESH,1961,BAJRA,648,37.86842105,370,648,787.7,27.21991875
ANDHRA_PRADESH,1962,BAJRA,609.7,35.15789474,349.9,609.7,1032.4,27.21991875
ANDHRA_PRADESH,1963,BAJRA,587.1,38.17368421,332.1,587.1,827.5607743,27.21991875
ANDHRA_PRADESH,1964,BAJRA,595.5,53.67894737,285.7,595.5,703.4022157,27.21991875
ANDHRA_PRADESH,1965,BAJRA,528.7,57.02631579,240.3,528.7,575.8110503,27.21991875
ANDHRA_PRADESH,1966,BAJRA,653.9,54.19473684,362.8,653.9,856.4276783,27.21991875
ANDHRA_PRADESH,1967,BAJRA,587.3,60.81052632,290.1,587.3,611.72556,27.21991875
ANDHRA_PRADESH,1968,BAJRA,586.4,57.08421053,244.8,586.4,625.6,27.21991875
ANDHRA_PRADESH,1969,BAJRA,587.8,55.77368421,284.4,587.8,761.2918916,27.21991875
ANDHRA_PRADESH,1970,BAJRA,577.7,54.39473684,298.2,577.7,791.2770884,27.21991875
ANDHRA_PRADESH,1971,BAJRA,521,70.72105263,227.6,521,677.733019,27.21991875
ANDHRA_PRADESH,1972,BAJRA,505.1,83.62631579,179.3,505.1,701.1989933,27.21991875
ANDHRA_PRADESH,1973,BAJRA,581.6,86.74736842,347.1,581.6,690.2937724,27.21991875
ANDHRA_PRADESH,1974,BAJRA,575.6,134.8736842,306.2,575.6,529.793458,27.21991875
ANDHRA_PRADESH,1975,BAJRA,620.7,86.51578947,350,620.7,894.5663523,27.21991875
ANDHRA_PRADESH,1976,BAJRA,561.6,84.33333333,237.1,561.6,722.8695318,27.21991875
ANDHRA_PRADESH,1977,BAJRA,567.3,96.85789474,377.6,567.3,774.8415184,27.21991875
ANDHRA_PRADESH,1978,BAJRA,566.8,79.11052632,356.8,566.8,905.4666667,27.21991875
ANDHRA_PRADESH,1979,BAJRA,454,88.00526316,296,454,769.1,27.21991875
ANDHRA_PRADESH,1980,BAJRA,514,98.12105263,337,514,566.1918916,27.21991875
ANDHRA_PRADESH,1981,BAJRA,544,111.7157895,445,544,827.1503734,27.21991875
ANDHRA_PRADESH,1982,BAJRA,492.2,141.94,259.2,492.2,558.2412247,27.21991875
ANDHRA_PRADESH,1983,BAJRA,487.3,129,350.1,487.3,992.2830366,27.21991875
ANDHRA_PRADESH,1984,BAJRA,348.7,126.81,186.8,348.7,607.9666667,27.21991875
ANDHRA_PRADESH,1985,BAJRA,328.9,141.13,198.6,328.9,588.7837067,27.21991875
ANDHRA_PRADESH,1986,BAJRA,285.2,154,159.6,285.2,666.1191584,27.21991875
ANDHRA_PRADESH,1987,BAJRA,290.6,168,152.9,290.6,#N/A,27.21991875
BIHAR,1956,BAJRA,0,0,0,0,970.8,24.94105705
BIHAR,1957,BAJRA,0,0,0,0,999.733151,24.94105705
BIHAR,1958,BAJRA,0,0,0,0,1163.3,24.94105705
BIHAR,1959,BAJRA,0,0,0,0,1213.433151,24.94105705
BIHAR,1960,BAJRA,0,0,0,0,1217.799057,24.94105705
BIHAR,1961,BAJRA,0,0,0,0,1248.7,24.94105705
BIHAR,1962,BAJRA,0,0,0,0,1193.733151,24.94105705
BIHAR,1963,BAJRA,0,0,0,0,1326.1,24.94105705
BIHAR,1964,BAJRA,0,0,0,0,1135.899057,24.94105705
BIHAR,1965,BAJRA,0,0,0,0,732.8,24.94105705
BIHAR,1966,BAJRA,0,0,0,0,497,24.94105705
BIHAR,1967,BAJRA,0,0,0,0,891.8,24.94105705
BIHAR,1968,BAJRA,0,0,0,0,1173.733151,24.94105705
BIHAR,1969,BAJRA,0,0,0,0,1270.5,24.94105705
BIHAR,1970,BAJRA,0,0,0,0,1088.199057,24.94105705
BIHAR,1971,BAJRA,0,0,0,0,1176.099057,24.94105705
BIHAR,1972,BAJRA,0,0,0,0,551.499057,24.94105705
BIHAR,1973,BAJRA,0,0,0,0,995.699057,24.94105705
BIHAR,1974,BAJRA,0,0,0,0,1235,24.94105705
BIHAR,1975,BAJRA,0,82.70526316,0,0,758.532208,24.94105705
BIHAR,1976,BAJRA,0,92.73,0,0,1091.3,24.94105705
BIHAR,1977,BAJRA,0,0,0,0,1043.3,24.94105705
BIHAR,1978,BAJRA,0,0,0,0,1119.8,24.94105705
BIHAR,1979,BAJRA,0,0,0,0,911.7,24.94105705
BIHAR,1980,BAJRA,0,0,0,0,865,24.94105705
BIHAR,1981,BAJRA,0,0,0,0,758.2,24.94105705
BIHAR,1982,BAJRA,0,0,0,0,780.6,24.94105705
BIHAR,1983,BAJRA,0,0,0,0,851.833151,24.94105705
BIHAR,1984,BAJRA,0,0,0,0,1433.6,24.94105705
BIHAR,1985,BAJRA,0,0,0,0,1457.2,24.94105705
BIHAR,1986,BAJRA,0,0,0,0,1322.7,24.94105705
BIHAR,1987,BAJRA,0,0,0,0,#N/A,24.94105705
GUJARAT,1956,BAJRA,1789.4,42.46111111,431.4,1789.4,1298.38203,26.31390245
GUJARAT,1957,BAJRA,1667.1,40.56666667,586.2,1667.1,686.443028,26.31390245
GUJARAT,1958,BAJRA,1657.9,40.94444444,705.6,1657.9,739.72556,26.31390245
GUJARAT,1959,BAJRA,1354,38.41666667,262.6,1354,1575.30759,26.31390245
