,STATENAM,YEAR,CROP,AREA
0,BIHAR,1956,AWHEAT,761.655
1,HARYANA,1956,AWHEAT,540.789
2,WEST_BENGAL,1956,AWHEAT,84.76396679999999
3,MADHYA_PRADESH,1956,AWHEAT,3240.3
4,KARNATAKA,1956,AWHEAT,309.8
5,UTTAR_PRADESH,1956,AWHEAT,3842.651
6,GUJARAT,1956,AWHEAT,511.2
7,RAJASTHAN,1956,AWHEAT,1354.5
8,ORISSA,1956,AWHEAT,5.434
9,ANDHRA_PRADESH,1956,AWHEAT,23.1
10,PUNJAB,1956,AWHEAT,1343.976
11,MAHARASHTRA,1956,AWHEAT,933.2
12,TAMIL_NADU,1956,AWHEAT,0.0
13,MADHYA_PRADESH,1957,AWHEAT,2544.1
14,MAHARASHTRA,1957,AWHEAT,870.2
15,WEST_BENGAL,1957,AWHEAT,34.2044536
16,UTTAR_PRADESH,1957,AWHEAT,3558.65
17,HARYANA,1957,AWHEAT,541.3480000000001
18,ORISSA,1957,AWHEAT,5.638
19,TAMIL_NADU,1957,AWHEAT,0.0
20,ANDHRA_PRADESH,1957,AWHEAT,16.5
21,GUJARAT,1957,AWHEAT,364.2
22,KARNATAKA,1957,AWHEAT,312.5
23,RAJASTHAN,1957,AWHEAT,1067.3
24,BIHAR,1957,AWHEAT,480.779
25,PUNJAB,1957,AWHEAT,1329.441
26,BIHAR,1958,AWHEAT,613.496
27,HARYANA,1958,AWHEAT,565.243
28,ANDHRA_PRADESH,1958,AWHEAT,16.5
29,WEST_BENGAL,1958,AWHEAT,39.2611331
30,GUJARAT,1958,AWHEAT,418.7
31,TAMIL_NADU,1958,AWHEAT,0.0
32,UTTAR_PRADESH,1958,AWHEAT,3673.848
33,KARNATAKA,1958,AWHEAT,310.1
34,MADHYA_PRADESH,1958,AWHEAT,2799.6
35,RAJASTHAN,1958,AWHEAT,1182.4
36,PUNJAB,1958,AWHEAT,1479.23
37,ORISSA,1958,AWHEAT,6.312
38,MAHARASHTRA,1958,AWHEAT,859.7
39,RAJASTHAN,1959,AWHEAT,1227.2
40,HARYANA,1959,AWHEAT,582.6469999999999
41,MADHYA_PRADESH,1959,AWHEAT,3169.9
42,BIHAR,1959,AWHEAT,652.846
43,UTTAR_PRADESH,1959,AWHEAT,3698.888
44,WEST_BENGAL,1959,AWHEAT,48.366397799999994
45,ANDHRA_PRADESH,1959,AWHEAT,21.3
46,GUJARAT,1959,AWHEAT,629.4
47,ORISSA,1959,AWHEAT,6.557
48,TAMIL_NADU,1959,AWHEAT,0.0
49,MAHARASHTRA,1959,AWHEAT,961.2
50,PUNJAB,1959,AWHEAT,1432.0220000000002
51,KARNATAKA,1959,AWHEAT,294.5
52,PUNJAB,1960,AWHEAT,1438.0839999999998
53,ORISSA,1960,AWHEAT,6.843
54,UTTAR_PRADESH,1960,AWHEAT,3750.178
55,HARYANA,1960,AWHEAT,614.874
56,RAJASTHAN,1960,AWHEAT,1067.0
57,ANDHRA_PRADESH,1960,AWHEAT,18.2
58,WEST_BENGAL,1960,AWHEAT,34.981781899999994
59,MADHYA_PRADESH,1960,AWHEAT,3088.5
60,GUJARAT,1960,AWHEAT,357.7
61,TAMIL_NADU,1960,AWHEAT,0.0
62,MAHARASHTRA,1960,AWHEAT,906.9
63,KARNATAKA,1960,AWHEAT,324.1
64,BIHAR,1960,AWHEAT,651.65
65,HARYANA,1961,AWHEAT,645.302
66,PUNJAB,1961,AWHEAT,1465.396
67,ANDHRA_PRADESH,1961,AWHEAT,19.9
68,MADHYA_PRADESH,1961,AWHEAT,3171.2
69,RAJASTHAN,1961,AWHEAT,1282.1
70,WEST_BENGAL,1961,AWHEAT,45.6659925
71,TAMIL_NADU,1961,AWHEAT,0.0
72,GUJARAT,1961,AWHEAT,420.9
73,UTTAR_PRADESH,1961,AWHEAT,3913.62
74,ORISSA,1961,AWHEAT,9.37
75,BIHAR,1961,AWHEAT,698.985
76,MAHARASHTRA,1961,AWHEAT,907.5
77,KARNATAKA,1961,AWHEAT,309.8
78,BIHAR,1962,AWHEAT,715.552
79,TAMIL_NADU,1962,AWHEAT,0.0
80,MADHYA_PRADESH,1962,AWHEAT,3238.3
81,ORISSA,1962,AWHEAT,10.193999999999999
82,WEST_BENGAL,1962,AWHEAT,48.9291502
83,UTTAR_PRADESH,1962,AWHEAT,3843.945
84,ANDHRA_PRADESH,1962,AWHEAT,19.5
85,KARNATAKA,1962,AWHEAT,317.9
86,HARYANA,1962,AWHEAT,668.3539999999999
87,MAHARASHTRA,1962,AWHEAT,915.9
88,GUJARAT,1962,AWHEAT,361.6
89,PUNJAB,1962,AWHEAT,1559.2379999999998
90,RAJASTHAN,1962,AWHEAT,1245.0
91,MADHYA_PRADESH,1963,AWHEAT,3322.4
92,WEST_BENGAL,1963,AWHEAT,54.5080978
93,PUNJAB,1963,AWHEAT,1542.6529999999998
94,RAJASTHAN,1963,AWHEAT,1129.2
95,ANDHRA_PRADESH,1963,AWHEAT,20.3
96,UTTAR_PRADESH,1963,AWHEAT,3746.665
97,KARNATAKA,1963,AWHEAT,311.5
98,ORISSA,1963,AWHEAT,15.272
99,TAMIL_NADU,1963,AWHEAT,0.0
100,HARYANA,1963,AWHEAT,678.187
101,MAHARASHTRA,1963,AWHEAT,888.1
102,GUJARAT,1963,AWHEAT,430.1
103,BIHAR,1963,AWHEAT,682.074
104,ANDHRA_PRADESH,1964,AWHEAT,16.3
105,MAHARASHTRA,1964,AWHEAT,909.2
106,ORISSA,1964,AWHEAT,13.75
107,GUJARAT,1964,AWHEAT,444.1
108,PUNJAB,1964,AWHEAT,1624.2179999999998
109,HARYANA,1964,AWHEAT,715.832
110,WEST_BENGAL,1964,AWHEAT,40.8493926
111,BIHAR,1964,AWHEAT,636.507
112,UTTAR_PRADESH,1964,AWHEAT,3779.5229999999997
113,KARNATAKA,1964,AWHEAT,293.7
114,TAMIL_NADU,1964,AWHEAT,0.0
115,RAJASTHAN,1964,AWHEAT,1183.0
116,MADHYA_PRADESH,1964,AWHEAT,3151.2
117,KARNATAKA,1965,AWHEAT,248.6
118,MAHARASHTRA,1965,AWHEAT,925.8
119,UTTAR_PRADESH,1965,AWHEAT,3939.6223659999996
120,HARYANA,1965,AWHEAT,710.867
121,ORISSA,1965,AWHEAT,13.311
122,MADHYA_PRADESH,1965,AWHEAT,2394.9
123,RAJASTHAN,1965,AWHEAT,967.0
124,ANDHRA_PRADESH,1965,AWHEAT,13.0
125,WEST_BENGAL,1965,AWHEAT,41.1287459
126,BIHAR,1965,AWHEAT,675.211
127,PUNJAB,1965,AWHEAT,1557.6629999999998
128,TAMIL_NADU,1965,AWHEAT,0.0
129,GUJARAT,1965,AWHEAT,515.1
130,BIHAR,1966,AWHEAT,832.9989999999999
131,ANDHRA_PRADESH,1966,AWHEAT,13.9
132,KARNATAKA,1966,AWHEAT,285.7
133,UTTAR_PRADESH,1966,AWHEAT,4169.236139
134,HARYANA,1966,AWHEAT,719.7869999999999
135,ORISSA,1966,AWHEAT,15.85
136,MADHYA_PRADESH,1966,AWHEAT,2126.2
137,MAHARASHTRA,1966,AWHEAT,876.0
138,GUJARAT,1966,AWHEAT,427.1
139,TAMIL_NADU,1966,AWHEAT,0.0
140,PUNJAB,1966,AWHEAT,1624.0829999999999
141,RAJASTHAN,1966,AWHEAT,966.0
142,WEST_BENGAL,1966,AWHEAT,55.405263899999994
143,MADHYA_PRADESH,1967,AWHEAT,2658.3
144,RAJASTHAN,1967,AWHEAT,1212.0
145,BIHAR,1967,AWHEAT,1055.2930000000001
146,MAHARASHTRA,1967,AWHEAT,828.0
147,TAMIL_NADU,1967,AWHEAT,0.0
148,ORISSA,1967,AWHEAT,14.517000000000001
149,WEST_BENGAL,1967,AWHEAT,78.5631578
150,HARYANA,1967,AWHEAT,829.569
151,GUJARAT,1967,AWHEAT,553.8
152,KARNATAKA,1967,AWHEAT,309.3
153,UTTAR_PRADESH,1967,AWHEAT,4712.688281000001
154,ANDHRA_PRADESH,1967,AWHEAT,13.7
155,PUNJAB,1967,AWHEAT,1802.464
156,HARYANA,1968,AWHEAT,888.7230000000001
157,KARNATAKA,1968,AWHEAT,325.7
158,ANDHRA_PRADESH,1968,AWHEAT,14.2
159,WEST_BENGAL,1968,AWHEAT,108.14
160,PUNJAB,1968,AWHEAT,2072.6020000000003
161,UTTAR_PRADESH,1968,AWHEAT,4750.126
162,BIHAR,1968,AWHEAT,1100.701
163,MADHYA_PRADESH,1968,AWHEAT,3008.1
164,ORISSA,1968,AWHEAT,15.173
165,TAMIL_NADU,1968,AWHEAT,0.0
166,RAJASTHAN,1968,AWHEAT,1159.0
167,MAHARASHTRA,1968,AWHEAT,839.4
168,GUJARAT,1968,AWHEAT,493.5
169,WEST_BENGAL,1969,AWHEAT,147.67
170,TAMIL_NADU,1969,AWHEAT,0.0
171,RAJASTHAN,1969,AWHEAT,1239.0
172,UTTAR_PRADESH,1969,AWHEAT,5091.058
173,ANDHRA_PRADESH,1969,AWHEAT,17.7
174,BIHAR,1969,AWHEAT,1152.863
175,PUNJAB,1969,AWHEAT,2179.563
176,HARYANA,1969,AWHEAT,995.8480000000001
177,KARNATAKA,1969,AWHEAT,341.7
178,MADHYA_PRADESH,1969,AWHEAT,3343.7
179,GUJARAT,1969,AWHEAT,430.6
180,ORISSA,1969,AWHEAT,15.047
181,MAHARASHTRA,1969,AWHEAT,846.5
182,MAHARASHTRA,1970,AWHEAT,812.0
183,GUJARAT,1970,AWHEAT,647.4
184,ANDHRA_PRADESH,1970,AWHEAT,16.7
185,PUNJAB,1970,AWHEAT,2217.0
186,TAMIL_NADU,1970,AWHEAT,0.0
187,MADHYA_PRADESH,1970,AWHEAT,3399.2
188,HARYANA,1970,AWHEAT,1100.0
189,UTTAR_PRADESH,1970,AWHEAT,5527.624
190,BIHAR,1970,AWHEAT,1229.982
191,WEST_BENGAL,1970,AWHEAT,195.34
192,KARNATAKA,1970,AWHEAT,343.6
193,ORISSA,1970,AWHEAT,14.252
194,RAJASTHAN,1970,AWHEAT,1482.0
195,ORISSA,1971,AWHEAT,18.750999999999998
196,PUNJAB,1971,AWHEAT,2259.0
197,GUJARAT,1971,AWHEAT,524.7
198,MADHYA_PRADESH,1971,AWHEAT,3661.4
199,KARNATAKA,1971,AWHEAT,360.5
200,TAMIL_NADU,1971,AWHEAT,0.0
201,MAHARASHTRA,1971,AWHEAT,978.3
202,BIHAR,1971,AWHEAT,1397.366
203,ANDHRA_PRADESH,1971,AWHEAT,20.9
204,RAJASTHAN,1971,AWHEAT,1502.0
205,WEST_BENGAL,1971,AWHEAT,253.52
206,UTTAR_PRADESH,1971,AWHEAT,5746.776
207,HARYANA,1971,AWHEAT,1154.0
208,ANDHRA_PRADESH,1972,AWHEAT,19.6
209,PUNJAB,1972,AWHEAT,2343.0
210,UTTAR_PRADESH,1972,AWHEAT,5821.691999999999
211,HARYANA,1972,AWHEAT,1224.1
212,RAJASTHAN,1972,AWHEAT,1390.0
213,WEST_BENGAL,1972,AWHEAT,263.49
214,MADHYA_PRADESH,1972,AWHEAT,3270.4
215,BIHAR,1972,AWHEAT,2507.976
216,MAHARASHTRA,1972,AWHEAT,709.6
217,TAMIL_NADU,1972,AWHEAT,0.0
218,ORISSA,1972,AWHEAT,51.461999999999996
219,GUJARAT,1972,AWHEAT,375.4
220,KARNATAKA,1972,AWHEAT,334.9
221,GUJARAT,1973,AWHEAT,537.8
222,TAMIL_NADU,1973,AWHEAT,0.0
223,HARYANA,1973,AWHEAT,1135.2
224,ORISSA,1973,AWHEAT,62.937
225,MAHARASHTRA,1973,AWHEAT,935.2
