,STATENAM,YEAR,CROP,PROD
0,BIHAR,1956,QWHEAT,184.533
1,HARYANA,1956,QWHEAT,641.94
2,WEST_BENGAL,1956,QWHEAT,27.198261499999997
3,MADHYA_PRADESH,1956,QWHEAT,1730.2
4,KARNATAKA,1956,QWHEAT,65.4
5,UTTAR_PRADESH,1956,QWHEAT,3023.738
6,GUJARAT,1956,QWHEAT,278.4
7,RAJASTHAN,1956,QWHEAT,1336.4
8,ORISSA,1956,QWHEAT,3.467
9,ANDHRA_PRADESH,1956,QWHEAT,5.1
10,PUNJAB,1956,QWHEAT,1376.418
11,MAHARASHTRA,1956,QWHEAT,322.0
12,TAMIL_NADU,1956,QWHEAT,0.0
13,MADHYA_PRADESH,1957,QWHEAT,1121.0
14,MAHARASHTRA,1957,QWHEAT,291.9
15,WEST_BENGAL,1957,QWHEAT,19.682869600000004
16,UTTAR_PRADESH,1957,QWHEAT,2588.362
17,HARYANA,1957,QWHEAT,595.6080000000001
18,ORISSA,1957,QWHEAT,3.5860000000000003
19,TAMIL_NADU,1957,QWHEAT,0.0
20,ANDHRA_PRADESH,1957,QWHEAT,4.4
21,GUJARAT,1957,QWHEAT,206.7
22,KARNATAKA,1957,QWHEAT,71.1
23,RAJASTHAN,1957,QWHEAT,840.0
24,BIHAR,1957,QWHEAT,274.7
25,PUNJAB,1957,QWHEAT,1326.8729999999998
26,BIHAR,1958,QWHEAT,438.11800000000005
27,HARYANA,1958,QWHEAT,655.8610000000001
28,ANDHRA_PRADESH,1958,QWHEAT,4.2
29,WEST_BENGAL,1958,QWHEAT,27.3446209
30,GUJARAT,1958,QWHEAT,303.8
31,TAMIL_NADU,1958,QWHEAT,0.0
32,UTTAR_PRADESH,1958,QWHEAT,2919.982
33,KARNATAKA,1958,QWHEAT,67.6
34,MADHYA_PRADESH,1958,QWHEAT,1976.7
35,RAJASTHAN,1958,QWHEAT,1016.5
36,PUNJAB,1958,QWHEAT,1589.527
37,ORISSA,1958,QWHEAT,4.0360000000000005
38,MAHARASHTRA,1958,QWHEAT,409.7
39,RAJASTHAN,1959,QWHEAT,1048.3
40,HARYANA,1959,QWHEAT,603.2280000000001
41,MADHYA_PRADESH,1959,QWHEAT,2312.8
42,BIHAR,1959,QWHEAT,354.48800000000006
43,UTTAR_PRADESH,1959,QWHEAT,3132.5440000000003
44,WEST_BENGAL,1959,QWHEAT,31.8587896
45,ANDHRA_PRADESH,1959,QWHEAT,4.8
46,GUJARAT,1959,QWHEAT,344.6
47,ORISSA,1959,QWHEAT,4.08
48,TAMIL_NADU,1959,QWHEAT,0.0
49,MAHARASHTRA,1959,QWHEAT,391.0
50,PUNJAB,1959,QWHEAT,1497.5839999999998
51,KARNATAKA,1959,QWHEAT,64.3
52,PUNJAB,1960,QWHEAT,1787.864
53,ORISSA,1960,QWHEAT,4.245
54,UTTAR_PRADESH,1960,QWHEAT,3783.493
55,HARYANA,1960,QWHEAT,777.6419999999999
56,RAJASTHAN,1960,QWHEAT,1011.8
57,ANDHRA_PRADESH,1960,QWHEAT,4.0
58,WEST_BENGAL,1960,QWHEAT,25.8840949
