,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
YEAR,1956.0,1957.0,1958.0,1959.0,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0
WHEAT,43.18725798,42.97983855,48.81322205,46.86200029,45.09063274,46.74200464,47.42053214,57.21055919,70.00591295,87.46012031,107.4496949,99.22494715,94.56201226,93.82356053,88.83566321,89.86772562,110.63931399999998,164.6281042,157.7771493,120.822657,135.73190590000002,135.39034750000002,134.0606969,149.2306031,176.943972,185.61941430000002,211.0001644,195.56054509999998,182.5849211,203.5338679,212.14497039999998,215.17455619999998
RICE,41.19008732,43.56201611,43.9260394,44.066294299999996,43.42587217,44.14721843,49.54792504,56.93796063,68.73466897,87.18540141,101.3320707,96.92936117,92.68675796,90.45280122,90.11748944,92.06784091,112.71633829999999,138.7934205,174.68740359999998,136.3767388,148.0957193,145.78532280000002,140.2952549,142.689989,153.1992957,168.8253631,191.5709961,207.1240715,178.56199099999998,193.4396115,200.4228994,228.52171600000003
MAIZE,28.484940299999998,30.04061554,32.84417828,30.49557822,31.0004695,30.42645891,31.55133892,35.08980804,50.36920026,60.50872576,67.3788326,72.19028642,61.44302867,64.99904104,58.14258003,65.01101401,79.05919631,105.0882487,147.1983078,92.15169113,90.56745071,103.317964,99.08645916,111.59335349999999,121.6042027,136.5070345,148.3912325,149.1208533,142.63932319999998,167.79371310000002,179.183432,184.29289939999998
JOWAR,26.356544699999997,24.08364239,26.74411486,27.66608916,27.55770772,28.33301498,29.11362491,34.08385191,44.80473494,49.98731847,55.67792005,55.20261234,55.08442192,56.97750322,55.17117952,61.02009325,75.02371109,98.79595605,126.67473500000001,96.73852177,90.08418772,89.76388376,85.01020256,90.84100808,108.34364740000002,117.33087859999999,124.293654,130.3226856,134.0984024,145.94337280000002,149.3994083,153.58579880000002
BAJRA,27.76927671,26.28001107,29.06317151,28.5228441,29.70860465,30.45851407,30.81879489,34.82983705,46.79581327,52.80715387,58.08200409,59.24229709,56.29763298,58.04202398,50.87250791,55.09196694,78.89115916,86.44969352,128.8946357,89.00015411,80.51755202,91.39461593,78.9591816,93.37342118,104.9467132,114.46350279999999,117.89999340000001,114.4739994,116.86964499999999,141.94,142.49408280000003,158.44378700000001
SUGAR,37.42610028,39.11355349,47.34128403,49.53073178,43.18606948,44.52261994,57.27697932,81.27879869,73.79593907,68.26692018,108.63142450000001,183.8740512,125.0078033,87.98578427,95.54465213,128.0706286,164.09540890000002,161.64791540000002,173.6397478,158.8617617,169.54471759999998,134.33936609999998,122.2545889,220.775527,302.2387014,243.56215330000003,222.34507569999997,255.86925840000004,301.4179172,335.15222650000004,333.035503,365.795858
POTATO,28.40258747,28.62360899,28.60896535,29.56245139,28.71112452,36.29664642,31.61365405,41.18599177,50.89776469,52.21321489,65.76559238,60.26364502,45.11201272,57.08396231,58.29868305,58.02053607,65.09040004,81.93566686,68.5180069,62.800073700000006,90.33423114,90.51499562,77.38587792,105.5360591,110.68354040000001,103.0567738,118.83721979999999,111.32193219999999,99.24455036,167.57544330000002,173.5314201,151.4863905
GNUT,39.28580087,41.7963856,43.13419817,46.29082181,50.37739012,51.05351867,51.97790628,54.44618884,71.56503254,98.09714439,117.5538507,96.01662995,99.11692025,118.8412658,123.9969318,114.750942,156.71979419999997,205.6493154,220.77253140000002,164.3174106,198.95009819999999,212.5721036,217.5508381,259.065905,307.90067289999996,335.45608089999996,370.8253587,419.55655369999994,424.2406791,428.2999303,523.2519209,593.6912042
BARLEY,29.47124193,26.90616212,32.80984373,27.78250769,27.36788253,27.89939902,27.41545887,38.79232617,45.8322507,55.79360839,77.77670095,57.40059629,55.14483553,57.97631406,50.61466657,59.32879869,83.11751678,117.2130917,112.39172820000002,75.25323719,82.34504819,85.87757392,80.83499377,106.6986013,112.6064178,109.65786170000001,129.3912389,124.9787462,137.1275799,147.30857230000004,140.3846154,179.9230769
