STATENAM,YEAR,avg(PRICE),avg(PMAIZE),avg(PJOWAR),avg(PBAJRA),avg(PSUGAR),avg(PPOTATO),avg(PGNUT),avg(PGNUT),avg(PBARLEY),avg(PTOBAC),avg(PGRAM),avg(PTUR),avg(PRAGI),avg(PSESAMUM),avg(PRMSEED),avg(PCOTTON),avg(POPULS),avg(PSOY),avg(PSUNFLWR),avg(PJUTE)
BIHAR,1956,48.06117647058824,29.88558823529412,0.0,0.0,41.09941176470587,28.25976470588235,36.62,36.62,34.11747058823529,196.13258823529415,40.171470588235294,34.86041176470587,28.417352941176468,70.06670588235295,73.75882352941177,0.0,34.86041176470587,0.0,0.0,40.333529411764694
HARYANA,1956,31.051666666666662,30.828666666666663,27.611666666666665,34.91,29.198577,28.707825,40.249539,40.249539,30.355833333333337,134.40866666666668,31.94983333333333,31.94983333333333,34.91,80.24,72.11633333333333,70.634165,31.94983333333333,0.0,0.0,0.0
WEST_BENGAL,1956,51.761852,27.96715699999999,0.0,0.0,41.57808,24.78075000000001,0.0,0.0,30.733488000000005,164.13144000000005,30.810286000000005,0.0,0.0,0.0,71.472148,0.0,0.0,0.0,0.0,66.22333333333333
MADHYA_PRADESH,1956,42.75116279069769,24.5,35.14651162790699,40.34883720930233,36.691395348837204,28.560709999999975,34.37093023255816,34.37093023255816,33.22259000000002,301.95930232558123,33.32232558139534,33.32232558139534,40.34883720930233,67.64046511627907,60.122173000000025,57.483488372093035,37.52812804651163,0.0,0.0,0.0
KARNATAKA,1956,67.21578947368421,27.757894736842097,31.831578947368417,29.07894736842105,32.27894736842105,38.68824399999999,40.75842105263158,40.75842105263158,48.22634000000002,217.82842105263157,43.19157894736841,43.19157894736841,29.07894736842105,49.941055,62.80141400000001,82.56473684210526,37.22052631578947,0.0,0.0,0.0
UTTAR_PRADESH,1956,25.210624999999993,28.636708333333335,31.691666666666645,35.14937500000001,40.239583333333336,24.890000000000004,35.583166666666635,35.583166666666635,29.545937500000004,102.66852600000003,32.966312499999994,32.966312499999994,35.14937500000001,84.83370833333333,66.59360416666668,71.85725000000001,32.971937499999996,0.0,0.0,56.55833333333336
GUJARAT,1956,37.07777777777778,36.40555555555555,37.95,42.46111111111111,52.19444444444443,23.255813999999994,78.27222222222221,78.27222222222221,24.88333333333333,77.79730999999998,32.99999999999999,32.99999999999999,42.46111111111111,75.53888888888888,52.7888888888889,43.41111111111112,46.46666666666666,0.0,0.0,0.0
RAJASTHAN,1956,19.984615384615388,12.326923076923077,12.003846153846155,13.8,35.247479730769236,28.56070999999998,42.18568361538461,42.18568361538461,32.62079230769231,177.12257653846154,31.36361026923077,31.36361026923077,13.8,81.78899107692308,70.23733876923076,153.4844570769231,17.373848961538457,0.0,0.0,0.0
ORISSA,1956,37.636153846153846,28.525384615384617,34.403846153846146,36.11692307692307,35.635384615384616,26.105215384615384,38.14,38.14,0.0,207.40230769230766,32.8423076923077,33.49900000000001,29.553846153846152,68.99615384615385,63.9076923076923,58.97384615384614,33.49900000000001,0.0,0.0,67.52
ANDHRA_PRADESH,1956,56.92631578947369,32.83157894736842,34.05263157894737,25.794736842105266,32.37,28.560709999999983,42.33473684210527,42.33473684210527,24.11317000000001,82.6231578947368,36.05842105263158,36.05842105263158,25.794736842105266,72.12684210526315,60.12217299999999,63.11368421052631,31.370040631578938,0.0,0.0,0.0
PUNJAB,1956,29.496999999999996,30.3801,29.590999999999998,30.139999999999997,34.675,19.6323,36.0012117,36.0012117,25.7206,166.30579600000002,30.1522,30.1522,30.139999999999997,83.72630000000001,67.2196,72.05999999999999,30.1522,0.0,0.0,0.0
MAHARASHTRA,1956,37.07199999999999,31.39199999999999,36.044,40.784,38.77600000000001,37.080699999999986,42.25199999999999,42.25199999999999,36.364000000000004,199.3840000000001,40,40,40.784,76.564,60.12217299999998,82.2,44.35199999999999,0.0,0.0,0.0
TAMIL_NADU,1956,51.225,28.86666666666666,32.30833333333334,32.416666666666664,36.555,32.150894,43.94749999999999,43.94749999999999,33.22259000000001,154.5391666666666,45.19,45.19,32.416666666666664,68.77750000000002,60.12217299999998,75.01333333333334,36.96234725,0.0,0.0,0.0
MADHYA_PRADESH,1957,44.47674418604652,29.26511627906978,28.23720930232557,30.865116279069788,36.131395348837195,32.579574999999984,42.680930232558126,42.680930232558126,24.56864199999998,271.0313953488372,27.941162790697675,27.941162790697675,30.865116279069788,73.90767441860467,67.16858,74.78279069767446,37.698070930232554,0.0,0.0,0.0
MAHARASHTRA,1957,38.312,30.012000000000008,32.123999999999995,38.316,42.8,40.912014,43.504000000000005,43.504000000000005,34.012,182.25600000000006,38.996,38.996,38.316,79.73999999999997,67.16858,85.22399999999999,55.62399999999999,0.0,0.0,0.0
WEST_BENGAL,1957,59.289842,34.94714,0.0,0.0,41.683454,22.696488,0.0,0.0,31.481821999999998,180.07731999999993,35.8093,0.0,0.0,0.0,62.74396600000001,0.0,0.0,0.0,0.0,64.59066666666666
UTTAR_PRADESH,1957,29.728125000000002,31.071979166666647,28.513750000000005,34.249166666666675,40.57958333333333,14.683208333333338,35.51768750000001,35.51768750000001,27.34127083333334,112.71567500000005,30.01074999999999,30.01074999999999,34.249166666666675,73.74958333333332,63.96749999999997,68.18669,30.01074999999999,0.0,0.0,55.639166666666654
HARYANA,1957,30.29666666666667,30.922666666666668,23.44,31.265,36.143229999999996,25.122694166666665,38.69853666666667,38.69853666666667,27.028833333333335,128.73683333333332,29.426833333333335,29.426833333333335,31.265,72.97000000000001,66.47416666666668,71.24428666666667,29.426833333333335,0.0,0.0,0.0
ORISSA,1957,39.51461538461538,30.170000000000012,30.306153846153848,30.67230769230769,36.51076923076923,18.505184615384614,42.72923076923077,42.72923076923077,0.0,192.75692307692302,30.677692307692304,31.511000000000006,32.38476923076923,76.84692307692309,63.12230769230769,73.56384615384614,31.511000000000006,0.0,0.0,61.090000000000025
TAMIL_NADU,1957,46.425000000000004,28.61666666666667,31.683333333333334,30.625000000000004,33.173333333333325,31.507877000000004,42.376666666666665,42.376666666666665,24.568642000000008,135.47333333333333,36.970000000000006,36.970000000000006,30.625000000000004,73.9825,67.16858,77.36500000000001,36.652738916666664,0.0,0.0,0.0
ANDHRA_PRADESH,1957,53.48421052631579,29.86842105263158,32.08947368421053,30.521052631578954,34.37,32.57957499999999,43.68473684210526,43.68473684210526,24.568642000000008,99.5657894736842,31.433684210526305,31.433684210526305,30.521052631578954,79.54263157894735,67.16858,71.98789473684211,34.099438473684216,0.0,0.0,0.0
GUJARAT,1957,43.80000000000001,34.37222222222222,35.81111111111111,40.56666666666666,55.555555555555536,35.151646000000014,80.60555555555555,80.60555555555555,31.844444444444434,119.3722222222222,37.43333333333334,37.43333333333334,40.56666666666666,73.29999999999998,54.49444444444446,44.91111111111111,72.29999999999998,0.0,0.0,0.0
KARNATAKA,1957,64.84210526315789,30.415789473684214,31.189473684210526,29.210526315789473,37.51578947368421,41.260315,47.71684210526316,47.71684210526316,33.490517,256.7021052631579,49.178421052631585,49.178421052631585,29.210526315789473,62.96217,59.21123000000002,109.38052631578948,42.92842105263158,0.0,0.0,0.0
RAJASTHAN,1957,25.523076923076925,12.173076923076925,12.003846153846155,14.442307692307695,38.591379269230764,32.579574999999984,45.2111655,45.2111655,30.76181157692308,191.34110499999997,32.21169319230769,32.21169319230769,14.442307692307695,79.37767423076924,72.69914934615385,159.3118071538462,20.094309346153846,0.0,0.0,0.0
BIHAR,1957,59.79882352941176,35.657823529411765,0.0,0.0,38.124705882352934,19.05976470588235,43.350000000000016,43.350000000000016,31.619882352941175,244.5552352941176,33.30235294117648,33.796352941176465,31.778823529411767,79.29864705882353,63.17664705882354,0.0,33.796352941176465,0.0,0.0,41.62823529411765
PUNJAB,1957,30.814999999999998,33.0351,27.689,30.907,37.297,25.469000000000005,37.277661,37.277661,28.493599999999997,164.80546599999997,31.119400000000002,31.119400000000002,30.907,91.0701,67.2661,78.304,31.119400000000002,0.0,0.0,0.0
BIHAR,1958,50.60764705882354,40.07829411764705,0.0,0.0,48.538235294117655,22.319705882352938,40.21,40.21,38.73088235294118,230.46600000000004,46.295705882352934,45.85964705882353,36.490117647058824,74.03788235294118,67.75958823529412,0.0,45.85964705882353,0.0,0.0,32.739411764705885
HARYANA,1958,30.513333333333335,33.440999999999995,29.971666666666668,36.406666666666666,39.66829166666667,26.563362666666666,42.34438666666667,42.34438666666667,31.3695,179.5728333333333,33.7405,33.7405,36.406666666666666,76.03033333333333,65.40116666666667,71.91865833333333,33.7405,0.0,0.0,0.0
ANDHRA_PRADESH,1958,57.01578947368422,31.936842105263157,33.66315789473685,32.72105263157895,43.51,32.90107999999999,44.63473684210526,44.63473684210526,33.410137,151.45210526315793,47.11736842105265,47.11736842105265,32.72105263157895,80.45157894736845,56.799915000000034,61.58157894736842,42.62806863157895,0.0,0.0,0.0
WEST_BENGAL,1958,56.635846,40.635559999999984,0.0,0.0,51.50109599999999,23.160848000000005,0.0,0.0,32.742737999999996,250.0751500000001,41.640589999999996,0.0,0.0,0.0,63.23690199999999,0.0,0.0,0.0,0.0,56.08066666666666
GUJARAT,1958,43.92777777777778,36.05555555555555,36.35555555555556,40.944444444444436,61.94444444444444,25.747508999999994,82.01666666666667,82.01666666666667,28.849999999999998,156.5,42.944444444444436,42.944444444444436,40.944444444444436,67.27777777777777,54.31111111111111,46.98333333333335,71.05555555555553,0.0,0.0,0.0
TAMIL_NADU,1958,51.208333333333336,31.216666666666672,31.78333333333333,32.91666666666667,34.847500000000004,38.98296,42.95583333333334,42.95583333333334,33.410137000000006,179.5725,52.145833333333336,52.145833333333336,32.91666666666667,77.93166666666666,56.79991500000002,228.26916666666668,42.38911375,0.0,0.0,0.0
UTTAR_PRADESH,1958,30.05958333333334,38.80620833333332,35.300625,40.454166666666666,41.31166666666667,17.180708333333328,38.84175000000001,38.84175000000001,34.10372916666666,109.15229,37.3295,37.3295,40.454166666666666,76.66643749999999,65.17412500000002,65.93613000000003,37.3295,0.0,0.0,47.986875000000005
KARNATAKA,1958,65.79473684210527,34.078947368421055,33.52631578947368,32.9,47.857894736842105,35.928623,50.217368421052626,50.217368421052626,57.603687000000015,280.4831578947368,50.87736842105264,50.87736842105264,32.9,97.97984999999997,73.0897,93.60263157894737,48.23,0.0,0.0,0.0
MADHYA_PRADESH,1958,43.26046511627909,29.304651162790694,30.979069767441864,37.330232558139514,51.62558139534882,32.901080000000015,40.37372093023257,40.37372093023257,33.41013700000001,264.78930232558116,45.92418604651161,45.92418604651161,37.330232558139514,68.50116279069769,56.79991500000005,75.4495348837209,45.288340511627915,0.0,0.0,0.0
RAJASTHAN,1958,25.77307692307693,12.411538461538461,16.85769230769231,14.557692307692308,51.673289884615386,32.901079999999986,46.0211203846154,46.0211203846154,35.617421000000014,196.75935669230768,36.55103307692308,36.55103307692308,14.557692307692308,74.51175965384614,72.79292257692308,98.08599084615383,23.000255384615386,0.0,0.0,0.0
PUNJAB,1958,34.147,35.968900000000005,33.129000000000005,35.474000000000004,44.883,20.281799999999997,40.061916000000004,40.061916000000004,28.5796,186.893036,33.332499999999996,33.332499999999996,35.474000000000004,83.0217,68.49289999999999,71.56700000000001,33.332499999999996,0.0,0.0,0.0
